IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,q0011,q0012,q0013,q0014,q0015,q0016,q0017,q0018,q0019,q0022,q0024,q0025,q0026,q0027,q0028,q0029,q0032,q0034,q0035,q0036,q0037,q0038,q0039,q0040,q0041,q0042,q0043,q0044,q0045,q0046,q0052,q0054,q0055,q0056,q0061,q0062,q0063,q0066,q0067,q0068,q0069,q0071,q0073,q0075,q0076,q0077,q0079,q0080,q0081,q0082,q0086,q0087,q0088,q0089,q0091,q0093,q0095,q0096,q0097,q0098,q0100,q0101,q0102,q0103,q0104,q0105,q0106,q0107,q0110,q0112,q0114,q0117,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
100002,In-house-Eng,27,Female,Bachelor's degree or higher,MultiRacial,west,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,71,10,12,13,11,10,12,13,10
105001,SM,26,Female,Bachelor's degree or higher,White,midwest,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,74,11,13,14,12,11,13,11,10
105002,SM,16,Female,Bachelor's degree or higher,White,midwest,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,3,1,2,2,2,3,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,09.5 to 20 mo,93,17,17,19,14,13,15,15,11
105003,SM,30,Male,Bachelor's degree or higher,White,midwest,1,1,1,1,1,2,2,1,1,2,1,1,2,3,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,83,13,14,16,15,15,13,10,10
105004,SM,25,Female,Bachelor's degree or higher,White,south,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,3,2,1,2,1,2,2,1,1,2,2,2,3,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,3,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,90,15,13,16,18,14,15,14,10
105005,SM,15,Female,Bachelor's degree or higher,MultiRacial,midwest,1,1,1,1,1,1,1,1,1,1,4,4,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,3,2,1,1,1,2,3,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,09.5 to 20 mo,89,10,17,18,16,12,12,14,10
105010,SM,21,Female,Bachelor's degree or higher,White,midwest,1,1,1,1,1,1,2,2,2,1,1,2,1,3,1,1,1,3,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,3,1,1,1,2,2,2,1,1,1,1,3,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,91,13,16,16,14,15,15,15,10
105015,SM,24,Female,Some college or associate degree,Black,midwest,1,1,1,1,1,2,1,1,1,1,1,3,1,3,1,1,2,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,81,11,15,15,15,11,15,10,10
105017,SM,30,Female,Some college or associate degree,White,midwest,4,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,3,2,1,2,3,1,1,3,1,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,84,15,12,19,16,11,13,13,10
105018,SM,27,Female,Bachelor's degree or higher,White,midwest,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,75,12,12,13,14,11,14,11,10
