sample,n,age_range,Female,Male,Bachelor's degree or higher,Did not complete high school (no diploma),High school graduate (including GED),Some college or associate degree,AmericanIndAlaskanNat,Asian,Black,Hispanic,MultiRacial,NativeHawPacIsl,Other,White,midwest,northeast,south,west,NA
full,711,21.00 to 30.99 years,103,81,60,9,53,62,1,11,19,42,3,1,1,106,24,29,75,56,
,,31.00 to 40.99 years,97,101,67,7,50,74,,14,13,46,5,,2,118,26,21,83,67,1
,,41.00 to 50.99 years,75,68,36,11,49,47,1,6,28,24,5,,2,77,35,19,60,29,
,,51.00 to 64.99 years,66,45,15,6,42,48,1,2,24,16,1,1,,66,28,19,41,23,
,,65.00 to 99.99 years,37,38,13,7,25,30,,1,10,9,4,,1,50,15,13,27,20,
60_perc,442,21.00 to 30.99 years,62,54,34,8,34,40,1,7,13,28,3,1,1,62,18,18,45,35,
,,31.00 to 40.99 years,56,60,37,6,30,43,,9,9,28,4,,2,64,15,15,46,39,1
,,41.00 to 50.99 years,47,42,20,8,30,31,1,3,17,17,4,,2,45,23,13,35,18,
,,51.00 to 64.99 years,40,30,9,4,28,29,1,2,15,11,1,1,,39,16,14,24,16,
,,65.00 to 99.99 years,24,27,9,6,18,18,,1,8,8,3,,1,30,12,8,17,14,
