IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0013,q0014,q0016,q0018,q0020,q0021,q0023,q0024,q0026,q0027,q0029,q0030,q0031,q0032,q0033,q0034,q0036,q0037,q0040,q0041,q0043,q0044,q0046,q0047,q0049,q0050,q0051,q0053,q0054,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0067,q0068,q0069,q0073,q0075,q0076,q0077,q0081,q0082,q0083,q0084,q0086,q0087,q0089,q0090,q0091,q0092,q0093,q0096,q0098,q0099,q0100,q0101,q0103,q0104,q0105,q0106,q0108,q0111,q0113,q0114,q0115,q0117,q0118,q0119,q0122,q0126,q0127,q0128,q0129,q0130,q0131,q0132,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
100002,In-house-Eng,33,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,west,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,78,14,12,15,14,11,12,14,11
100003,In-house-Eng,42,41.00 to 50.99 years,Male,Bachelor's degree or higher,Black,west,2,3,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,4,1,3,2,1,1,1,3,1,1,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,78,18,10,12,19,16,10,11,11
233001,In-house-Eng,64,51.00 to 64.99 years,Female,Some college or associate degree,White,west,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,64,12,11,10,10,11,10,12,12
233002,In-house-Eng,66,65.00 to 99.99 years,Male,Some college or associate degree,White,west,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,61,10,10,10,10,11,10,10,11
233006,In-house-Eng,64,51.00 to 64.99 years,Female,Bachelor's degree or higher,White,south,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,65,14,10,13,11,10,10,11,10
233008,In-house-Eng,45,41.00 to 50.99 years,Female,Some college or associate degree,White,northeast,1,1,2,1,4,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,3,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,3,2,2,85,15,15,14,15,14,13,14,16
233009,In-house-Eng,50,41.00 to 50.99 years,Male,High school graduate (including GED),White,northeast,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,77,15,10,16,12,11,15,13,12
233007,In-house-Eng,64,51.00 to 64.99 years,Male,High school graduate (including GED),White,south,2,1,1,1,2,1,2,1,1,3,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,2,3,1,2,1,2,2,1,1,3,1,3,3,80,15,14,14,12,13,12,15,19
100006,In-house-Eng,22,21.00 to 30.99 years,Female,Bachelor's degree or higher,Hispanic,west,3,1,3,3,3,2,1,1,3,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,2,1,3,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,76,23,11,14,16,13,10,12,10
100014,In-house-Eng,30,21.00 to 30.99 years,Female,Some college or associate degree,Hispanic,west,1,1,1,1,3,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1,77,13,13,14,14,14,11,11,14
