IDNumber,q0011_0001,q0012_0001,q0013_0001,q0014_0001,q0015_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0021_0001,q0022_0001,q0023_0001,q0024_0001,q0025_0001,TOT_raw
160001,2,3,2,2,1,1,2,1,1,1,1,1,1,1,2,22
160004,1,1,1,1,2,1,2,1,2,3,3,1,1,2,1,23
160002,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,22
160003,3,3,3,3,2,2,2,2,1,3,2,1,1,2,2,32
160005,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,26
160009,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,24
160010,2,3,3,1,1,2,2,1,1,1,1,1,1,2,2,24
160007,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,18
160006,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,17
119035,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
119036,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
119009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,16
119060,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,16
119005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119066,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,18
119065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119051,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,17
119076,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,21
119070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119008,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,16
119030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119033,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
119073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
193015,4,1,2,1,1,1,1,1,2,2,1,1,1,2,1,22
193016,4,1,1,1,1,1,1,1,2,4,1,1,1,1,1,22
193017,3,1,2,1,2,1,1,1,1,3,2,1,1,1,2,23
193018,3,1,1,1,2,1,1,2,1,2,1,2,1,1,1,21
193019,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
193021,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
193022,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,19
193023,4,1,2,1,1,1,1,1,2,1,1,1,1,1,1,20
193024,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,18
193025,3,1,3,1,1,1,1,1,1,2,1,1,1,2,1,21
193026,4,1,3,1,2,1,1,1,1,2,1,1,1,1,1,22
193020,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,19
193070,4,1,1,2,1,1,1,1,1,2,1,1,1,1,2,21
193068,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,19
193069,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
119118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119125,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,16
119119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119132,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,18
119131,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,19
119130,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,16
119129,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,16
119128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119127,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,16
119126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
292027,2,1,3,3,3,1,2,1,1,2,2,1,1,1,2,26
