IDNumber,data,DriveForm,q0133,q0134,q0135,q0136,q0137,q0138,q0139,q0140,q0141,q0142,q0143,q0144,q0145,q0146,q0147,q0148,q0149,q0150,TOT_raw
119107,Eng,AdultSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,21
141007,Eng,AdultSR,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,3,2,32
141008,Eng,AdultSR,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,20
141009,Eng,AdultSR,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,21
141010,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,20
141011,Eng,AdultSR,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21
141012,Eng,AdultSR,1,2,1,1,2,2,2,3,1,2,1,2,1,1,1,1,2,2,28
141013,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,20
141014,Eng,AdultSR,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,4,1,25
141015,Eng,AdultSR,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,20
141017,Eng,AdultSR,2,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,24
141019,Eng,AdultSR,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,25
141022,Eng,AdultSR,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,21
141023,Eng,AdultSR,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,2,1,29
141024,Eng,AdultSR,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
141025,Eng,AdultSR,2,2,2,3,3,1,1,2,1,1,2,1,1,1,1,1,3,1,29
141027,Eng,AdultSR,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,22
141028,Eng,AdultSR,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,24
141029,Eng,AdultSR,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,21
141030,Eng,AdultSR,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,22
141031,Eng,AdultSR,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,22
141032,Eng,AdultSR,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,23
141033,Eng,AdultSR,3,2,2,2,2,2,1,2,1,1,1,1,1,2,1,3,2,2,31
141061,Eng,AdultSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,21
141062,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
141109,Eng,AdultSR,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,3,3,2,27
141110,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141111,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
141112,Eng,AdultSR,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,23
141113,Eng,AdultSR,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,22
141114,Eng,AdultSR,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,21
141115,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
141116,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141117,Eng,AdultSR,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,3,1,24
141118,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,19
141122,Eng,AdultSR,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,21
141182,Eng,AdultSR,3,3,2,3,2,1,2,2,2,2,3,3,1,1,1,2,2,3,38
141183,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141191,Eng,AdultSR,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,26
141195,Eng,AdultSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,23
141196,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
141197,Eng,AdultSR,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,22
141198,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141199,Eng,AdultSR,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,21
141200,Eng,AdultSR,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,20
141201,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
141202,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3,1,22
