CollectorNm,RespondentID,CollectorID,StartDate,EndDate,IPAddress,EmailAddress,FirstName,LastName,CustomData1,IDNumber,q0002_0001_0001,q0002_0001_0002,q0002_0001_0003,q0003_0001_0001,q0003_0001_0002,q0003_0001_0003,q0004,Gender,q0006,q0007,q0008,q0009_0001,q0009_0002,q0009_0003,q0009_0004,q0009_0005,q0009_0006,q0009_other,q0010,q0010_other,q0011_0001,q0012_0001,q0013_0001,q0014_0001,q0015_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0021_0001,q0022_0001,q0023_0001,q0024_0001,q0025_0001,q0026_0001,q0027_0001,q0028_0001,q0029_0001,count_total
Web Link 1,5257285963,94893521,02/21/2017 12:45:09 PM,02/21/2017 01:04:36 PM,173.8.199.33, , , , ,160001,02,20,2017,02,03,2010,7,Male,1,97333,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Frequently,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,1
Web Link 1,5257426739,94893521,02/21/2017 02:37:37 PM,02/21/2017 02:39:53 PM,173.8.199.33, , , , ,160004,02,21,2017,08,25,2010,6,Female,1,97333,No, ,Asian, , , , , ,No, ,Always,Always,Always,Always,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,1
Web Link 1,5257563520,94893521,02/21/2017 04:44:45 PM,02/21/2017 04:46:42 PM,173.8.199.33, , , , ,160002,02,21,2017,02,13,2011,6,Female,K,97333,No, , , , ,White, , ,No, ,Frequently,Always,Always,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,1
Web Link 1,5257646413,94893521,02/21/2017 06:18:22 PM,02/21/2017 06:23:59 PM,173.8.199.33, , , , ,160003,02,21,2017,01,19,2008,9,Male,4,97333,No, , , , ,White, , ,No, ,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Never,Never,Never,Occasionally,Frequently,Never,Occasionally,Never,Occasionally,Never,Never,Frequently,Never,1
Web Link 1,5258781081,94893521,02/22/2017 11:01:39 AM,02/22/2017 11:03:51 AM,173.8.199.33, , , , ,160005,02,22,2017,09,03,2010,6,Female,K,97330,Yes, ,Asian, , , ,Other (please specify),Hispanic,No, ,Frequently,Always,Frequently,Frequently,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,1
Web Link 1,5259164238,94893521,02/22/2017 02:55:15 PM,02/22/2017 02:58:14 PM,173.8.199.33, , , , ,160009,02,22,2017,02,10,2008,9,Male,4,97330,Yes, , , , ,White,Other (please specify),Hispanic,Yes,Aspergers,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Never,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Frequently,Never,Occasionally,Frequently,Occasionally,Frequently,1
Web Link 1,5275189595,94893521,03/06/2017 09:59:48 AM,03/06/2017 10:01:13 AM,75.170.88.1, , , , ,160006,03,06,2017,08,25,2010,6,Female,K,97333,No, ,Asian, , , , , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5275192646,94893521,03/06/2017 10:01:24 AM,03/06/2017 10:03:06 AM,75.170.88.1, , , , ,160007,03,06,2017,02,15,2009,8,Male,3,97333,No,American Indian/Alaska Native, , , , , , ,Yes,HF ASD,Always,Always,Always,Always,Frequently,Occasionally,Never,Never,Never,Frequently,Never,Frequently,Never,Occasionally,Never,Never,Occasionally,Never,Never,1
Web Link 1,5275196310,94893521,03/06/2017 10:03:19 AM,03/06/2017 10:05:02 AM,75.170.88.1, , , , ,160010,03,06,2017,08,28,2008,8,Male,3,97321,Yes, , , , , ,Other (please specify),Hispanic,Yes,High Functioning ASD,Always,Frequently,Always,Frequently,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,1
Web Link 1,5291681635,94893521,03/17/2017 08:21:10 AM,03/17/2017 08:22:50 AM,216.54.120.67, , , , ,119009,03,17,2017,01,14,2008,9,Female,3,23322,No, ,Asian,Black/African American, , , , ,No, ,Always,Never,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5308220608,94893521,03/29/2017 09:11:56 AM,03/29/2017 09:15:11 AM,137.164.121.129, , , , ,134030,03,29,2017,10,09,2008,8,Female,3,94939,No, , , , ,White, , ,No, ,Always,Never,Always,Always,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,1
Web Link 1,5308228736,94893521,03/29/2017 09:15:41 AM,03/29/2017 09:18:54 AM,137.164.121.129, , , , ,134025,03,29,2017,10,08,2008,8,Male,2,94925,No, , , , ,White, , ,No, ,Frequently,Occasionally,Always,Frequently,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Frequently,Never,1
Web Link 1,5308234232,94893521,03/29/2017 09:19:33 AM,03/29/2017 09:21:21 AM,137.164.121.129, , , , ,134026,03,29,2017,01,20,2009,8,Male,2,94939,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,1
Web Link 1,5320923079,94893521,04/07/2017 06:37:18 AM,04/07/2017 06:41:05 AM,137.164.121.129, , , , ,134031,04,07,2017,04,05,2011,6,Male,K,94901,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,1
Web Link 1,5324209027,94893521,04/10/2017 05:03:38 PM,04/10/2017 05:15:28 PM,70.161.87.103, , , , ,119036,04,10,2017,07,08,2009,7,Female,2,23320,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5324210701,94893521,04/10/2017 05:15:49 PM,04/10/2017 05:17:24 PM,70.161.87.103, , , , ,119035,04,10,2017,09,27,2007,9,Female,4,23320,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5327877768,94893521,04/13/2017 01:37:32 PM,04/13/2017 01:39:18 PM,96.249.234.74, , , , ,119061,04,13,2017,07,13,2009,7,Male,1,23455,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
