CollectorNm,RespondentID,CollectorID,StartDate,EndDate,IPAddress,EmailAddress,FirstName,LastName,CustomData1,IDNumber,q0002_0001_0001,q0002_0001_0002,q0002_0001_0003,q0003_0001_0001,q0003_0001_0002,q0003_0001_0003,q0004,Gender,q0006,q0007,q0008,q0009_0001,q0009_0002,q0009_0003,q0009_0004,q0009_0005,q0009_0006,q0009_other,q0010,q0010_other,q0011_0001,q0012_0001,q0013_0001,q0014_0001,q0015_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0021_0001,q0022_0001,q0023_0001,q0024_0001,q0025_0001,q0026_0001,q0027_0001,q0028_0001,q0029_0001,q0030_0001,q0031_0001,count_total
Web Link 1,5257294460,94897316,02/21/2017 01:07:39 PM,02/21/2017 01:10:08 PM,173.8.199.33, , , , ,160001,02,20,2017,02,03,2010,7,Male,1,97333,No, , , , ,White, , ,No, ,Frequently,Occasionally,Frequently,Occasionally,Never,Never,Frequently,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,1
Web Link 1,5257445401,94897316,02/21/2017 02:52:57 PM,02/21/2017 02:55:00 PM,173.8.199.33, , , , ,160004,02,21,2017,08,25,2010,6,Female,1,97333,No, ,Asian, , , , , ,No, ,Always,Always,Always,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Frequently,Occasionally,Frequently,Never,Never,Never,1
Web Link 1,5257457346,94897316,02/21/2017 03:02:24 PM,02/21/2017 03:05:13 PM,173.8.199.33, , , , ,160002,02,21,2017,02,13,2011,6,Female,K,97333,No, , , , ,White, , ,No, ,Always,Always,Always,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,1
Web Link 1,5257656157,94897316,02/21/2017 06:30:32 PM,02/21/2017 06:34:06 PM,173.8.199.33, , , , ,160003,02,21,2017,01,19,2008,9,Male,4,97333,No, , , , ,White, , ,No, ,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Occasionally,Occasionally,Frequently,Frequently,Frequently,Frequently,Frequently,Never,Never,Never,Occasionally,Frequently,Frequently,Frequently,Occasionally,Occasionally,1
Web Link 1,5258791791,94897316,02/22/2017 11:07:35 AM,02/22/2017 11:10:10 AM,173.8.199.33, , , , ,160005,02,22,2017,09,03,2010,6,Female,K,97330,Yes, ,Asian, , , ,Other (please specify),Hispanic,No, ,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Frequently,Occasionally,Occasionally,Never,Occasionally,Occasionally,1
Web Link 1,5259172988,94897316,02/22/2017 03:01:51 PM,02/22/2017 03:05:08 PM,173.8.199.33, , , , ,160009,02,22,2017,02,10,2008,9,Male,4,97330,Yes, , , , ,White, , ,Yes,Aspergers,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Never,Frequently,Frequently,Frequently,Never,Never,Never,Frequently,Frequently,Frequently,1
Web Link 1,5275209030,94897316,03/06/2017 10:10:59 AM,03/06/2017 10:12:27 AM,75.170.88.1, , , , ,160006,03,06,2017,08,25,2010,6,Female,K,97333,No, ,Asian, , , , , ,No, ,Always,Always,Always,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,1
Web Link 1,5275212549,94897316,03/06/2017 10:12:39 AM,03/06/2017 10:14:44 AM,75.170.88.1, , , , ,160007,03,06,2017,02,15,2009,8,Male,3,97333,No,American Indian/Alaska Native, , , , , , ,Yes,HF ASD,Always,Occasionally,Occasionally,Occasionally,Never,Never,Frequently,Never,Always,Never,Never,Never,Frequently,Frequently,Frequently,Never,Never,Never,Always,Occasionally,Frequently,1
Web Link 1,5275216179,94897316,03/06/2017 10:14:58 AM,03/06/2017 10:16:45 AM,75.170.88.1, , , , ,160010,03,06,2017,08,28,2008,8,Male,3,97321,Yes, , , , , ,Other (please specify),Hispanic,Yes,HF ASD,Frequently,Occasionally,Occasionally,Occasionally,Never,Never,Frequently,Never,Occasionally,Never,Never,Occasionally,Occasionally,Frequently,Occasionally,Never,Never,Never,Frequently,Occasionally,Frequently,1
Web Link 1,5289363729,94897316,03/16/2017 07:26:25 AM,04/19/2019 08:49:17 AM,216.54.120.89, , , , ,119035,03,16,2017,09,27,2007,9,Female,4,23320,No, , , , ,White, , ,No, ,Always,Always,Always,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Frequently,Frequently,Occasionally,Never,Never,Occasionally,Occasionally,Never,Occasionally,1
Web Link 1,5290490368,94897316,03/16/2017 04:47:01 PM,03/16/2017 05:04:39 PM,24.254.192.155, , , , ,119033,03,16,2017,03,22,2010,6,Female,1,23707,No, , , , ,White, , ,No, ,Never,Always,Always,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,1
Web Link 1,5290634935,94897316,03/16/2017 06:30:42 PM,04/19/2019 08:46:25 AM,24.254.192.155, , , , ,119030,03,16,2017,12,05,2009,7,Male,1,23707,Yes, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Always,Occasionally,Never,Never,Never,1
Web Link 1,5303169130,94897316,03/26/2017 05:48:25 AM,03/26/2017 06:33:21 AM,71.176.37.227, , , , ,119051,03,26,2017,06,30,2007,9,Female,3,23707,No, , , , ,White, , ,No, ,Always,Frequently,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Frequently,Never,Occasionally,Occasionally,1
Web Link 1,5313615377,94897316,04/02/2017 02:40:59 PM,04/02/2017 02:44:44 PM,173.50.102.121, , , , ,119009,04,02,2017,01,14,2008,9,Female,3,23322,No, ,Asian,Black/African American, , , , ,No, ,Never,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
