id,form,study
414001,preschool-home,stand
414001,preschool-school,stand
414002,preschool-home,stand
414002,preschool-school,stand
414003,preschool-home,stand
414003,preschool-school,stand
414004,preschool-home,stand
414004,preschool-school,stand
414005,preschool-home,stand
414005,preschool-school,stand
414006,preschool-home,stand
414006,preschool-school,stand
414007,preschool-home,stand
414007,preschool-school,stand
414008,preschool-home,stand
414008,preschool-school,stand
414009,preschool-home,stand
414009,preschool-school,stand
414010,preschool-home,stand
414010,preschool-school,stand
414011,preschool-home,stand
414011,preschool-school,stand
414011,child-home,alt
414011,child-school,alt
414012,preschool-home,stand
414012,preschool-school,stand
414012,child-home,alt
414012,child-school,alt
414013,preschool-home,stand
414013,preschool-school,stand
414013,child-home,alt
414013,child-school,alt
414014,preschool-home,stand
414014,preschool-school,stand
414014,child-home,alt
414014,child-school,alt
414015,preschool-home,stand
414015,preschool-school,stand
414015,child-home,alt
414015,child-school,alt
414016,child-home,stand
414016,child-school,stand
414017,child-home,stand
414017,child-school,stand
414018,child-home,stand
414018,child-school,stand
414019,child-home,stand
414019,child-school,stand
414020,child-home,stand
414020,child-school,stand
414021,child-home,stand
414021,child-school,stand
414022,child-home,stand
414022,child-school,stand
414023,child-home,stand
414023,child-school,stand
414024,child-home,stand
414024,child-school,stand
414025,child-home,stand
414025,child-school,stand
414026,child-home,stand
414026,child-school,stand
414027,child-home,stand
414027,child-school,stand
414028,child-home,stand
414028,child-school,stand
414029,child-home,stand
414029,child-school,stand
414030,child-home,stand
414030,child-school,stand
414031,child-home,stand
414031,child-school,stand
414032,child-home,stand
414032,child-school,stand
414033,child-home,stand
414033,child-school,stand
414034,child-home,stand
414034,child-school,stand
414035,child-home,stand
414035,child-school,stand
414036,child-home,stand
414036,child-school,stand
414037,child-home,stand
414037,child-school,stand
414038,child-home,stand
414038,child-school,stand
414039,child-home,stand
414039,child-school,stand
414040,child-home,stand
414040,child-school,stand
414041,child-home,stand
414041,child-school,stand
414042,child-home,stand
414042,child-school,stand
414043,child-home,stand
414043,child-school,stand
414044,child-home,stand
414044,child-school,stand
414045,child-home,stand
414045,child-school,stand
414046,child-home,stand
414046,child-school,stand
414046,adolescent-home,alt
414046,adolescent-school,alt
414047,child-home,stand
414047,child-school,stand
414047,adolescent-home,alt
414047,adolescent-school,alt
414048,child-home,stand
414048,child-school,stand
414048,adolescent-home,alt
414048,adolescent-school,alt
414049,child-home,stand
414049,child-school,stand
414049,adolescent-home,alt
414049,adolescent-school,alt
414050,child-home,stand
414050,child-school,stand
414050,adolescent-home,alt
414050,adolescent-school,alt
414051,child-home,stand
414051,child-school,stand
414051,adolescent-home,alt
414051,adolescent-school,alt
414052,child-home,stand
414052,child-school,stand
414052,adolescent-home,alt
414052,adolescent-school,alt
414053,child-home,stand
414053,child-school,stand
414053,adolescent-home,alt
414053,adolescent-school,alt
414054,child-home,stand
414054,child-school,stand
414054,adolescent-home,alt
414054,adolescent-school,alt
414055,child-home,stand
414055,child-school,stand
414055,adolescent-home,alt
414055,adolescent-school,alt
414056,child-home,stand
414056,child-school,stand
414056,adolescent-home,alt
414056,adolescent-school,alt
414057,child-home,stand
414057,child-school,stand
414057,adolescent-home,alt
414057,adolescent-school,alt
414058,child-home,stand
414058,child-school,stand
414058,adolescent-home,alt
414058,adolescent-school,alt
414059,child-home,stand
414059,child-school,stand
414059,adolescent-home,alt
414059,adolescent-school,alt
414060,child-home,stand
414060,child-school,stand
414060,adolescent-home,alt
414060,adolescent-school,alt
414061,adolescent-home,stand
414061,adolescent-school,stand
414061,adolescent-self,stand
414062,adolescent-home,stand
414062,adolescent-school,stand
414062,adolescent-self,stand
414063,adolescent-home,stand
414063,adolescent-school,stand
414063,adolescent-self,stand
414064,adolescent-home,stand
414064,adolescent-school,stand
414064,adolescent-self,stand
414065,adolescent-home,stand
414065,adolescent-school,stand
414065,adolescent-self,stand
414066,adolescent-home,stand
414066,adolescent-school,stand
414066,adolescent-self,stand
414067,adolescent-home,stand
414067,adolescent-school,stand
414067,adolescent-self,stand
414068,adolescent-home,stand
414068,adolescent-school,stand
414068,adolescent-self,stand
414069,adolescent-home,stand
414069,adolescent-school,stand
414069,adolescent-self,stand
414070,adolescent-home,stand
414070,adolescent-school,stand
414070,adolescent-self,stand
414071,adolescent-home,stand
414071,adolescent-school,stand
414071,adolescent-self,stand
414072,adolescent-home,stand
414072,adolescent-school,stand
414072,adolescent-self,stand
