IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,q0011,q0012,q0013,q0014,q0015,q0016,q0017,q0018,q0019,q0022,q0024,q0025,q0026,q0027,q0028,q0029,q0032,q0034,q0035,q0036,q0037,q0038,q0039,q0040,q0041,q0042,q0043,q0044,q0045,q0046,q0052,q0054,q0055,q0056,q0061,q0062,q0063,q0066,q0067,q0068,q0069,q0071,q0073,q0075,q0076,q0077,q0079,q0080,q0081,q0082,q0086,q0087,q0088,q0089,q0091,q0093,q0095,q0096,q0097,q0098,q0100,q0101,q0102,q0103,q0104,q0105,q0106,q0107,q0110,q0112,q0114,q0117,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
362002,Sp,27,Male,High school graduate (including GED),Hispanic,south,1,2,2,1,2,1,2,3,2,1,2,1,4,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,21 to 31.5 mo,71,17,16,12,11,10,12,10,12
318131,Sp,13,Female,High school graduate (including GED),Hispanic,midwest,2,3,3,3,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,3,2,2,1,1,1,1,2,2,2,09.5 to 20 mo,72,21,12,11,10,12,11,16,17
318132,Sp,13,Male,High school graduate (including GED),Hispanic,midwest,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,09.5 to 20 mo,72,28,18,10,10,11,11,12,10
318133,Sp,15,Female,High school graduate (including GED),Hispanic,midwest,1,2,2,3,3,3,3,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,3,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,4,1,1,1,1,1,1,1,1,1,2,1,1,2,3,3,2,2,2,2,1,1,1,1,1,2,1,1,1,1,09.5 to 20 mo,97,23,13,15,15,21,13,20,11
318134,Sp,20,Female,Did not complete high school (no diploma),Hispanic,midwest,3,3,4,4,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,3,2,2,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,3,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,09.5 to 20 mo,91,37,14,13,16,14,15,19,13
362025,Sp,27,Female,Bachelor's degree or higher,Hispanic,west,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,4,1,2,1,1,2,1,3,3,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,1,1,1,1,1,3,1,2,21 to 31.5 mo,81,10,14,19,11,13,11,13,14
369001,Sp,27,Male,High school graduate (including GED),Hispanic,west,1,1,1,1,1,1,1,3,1,1,3,1,4,1,3,1,1,1,4,4,2,4,1,3,1,1,3,2,4,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,21 to 31.5 mo,99,12,23,22,13,13,16,12,11
366008,Sp,23,Female,Bachelor's degree or higher,Hispanic,south,4,2,3,1,1,2,2,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,21 to 31.5 mo,70,21,11,13,10,13,13,10,12
369007,Sp,30,Female,Bachelor's degree or higher,Hispanic,west,1,2,2,1,1,1,1,2,2,1,3,2,2,2,3,1,1,2,3,2,2,4,2,3,3,2,2,2,3,2,1,1,1,2,1,2,1,2,3,2,2,1,2,2,3,1,1,1,1,1,3,3,2,2,1,3,3,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,21 to 31.5 mo,113,14,21,25,16,15,22,14,14
369016,Sp,24,Male,Bachelor's degree or higher,Hispanic,west,2,1,1,3,1,2,3,2,2,2,2,2,3,2,2,2,1,1,3,2,2,4,2,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,3,1,2,1,1,1,1,1,3,1,2,1,3,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1,1,2,2,21 to 31.5 mo,94,19,20,18,13,14,17,12,15
362034,Sp,29,Female,High school graduate (including GED),Hispanic,west,2,2,2,2,2,3,3,2,1,3,3,2,1,1,2,1,2,2,3,3,3,2,1,2,1,1,2,2,3,3,3,4,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,21 to 31.5 mo,98,22,20,20,16,15,13,14,11
369022,Sp,26,Female,Bachelor's degree or higher,Hispanic,west,2,1,1,2,1,2,2,3,2,2,4,2,2,1,2,1,1,2,3,3,1,3,2,2,1,2,2,2,3,1,2,3,1,3,1,2,1,1,3,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,3,2,2,3,2,1,1,1,1,2,2,1,2,3,1,2,3,2,2,2,1,2,2,2,2,21 to 31.5 mo,106,18,21,19,18,13,20,15,20
369009,Sp,12,Female,Bachelor's degree or higher,Hispanic,west,1,1,2,2,1,1,2,3,2,2,2,2,3,1,2,1,1,1,3,3,2,3,2,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,3,1,1,1,1,1,2,3,1,2,1,1,1,1,2,1,2,1,1,2,1,2,2,09.5 to 20 mo,89,17,19,17,12,11,16,14,15
407001,Sp,16,Female,Bachelor's degree or higher,Hispanic,west,2,2,3,2,1,2,3,3,1,1,1,2,4,1,4,2,1,1,3,3,1,2,2,2,2,1,2,2,3,3,1,2,1,2,1,3,3,1,2,2,2,2,2,2,1,2,3,2,2,2,3,3,2,1,1,2,3,4,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,2,09.5 to 20 mo,115,20,22,20,18,20,21,14,15
407002,Sp,16,Male,Bachelor's degree or higher,Hispanic,northeast,1,2,2,2,1,2,2,2,1,1,1,2,2,1,3,2,1,1,3,2,1,2,2,2,1,1,2,1,3,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,1,1,1,09.5 to 20 mo,88,16,18,16,13,12,17,12,16
362051,Sp,18,Female,Some college or associate degree,Hispanic,west,1,1,1,2,1,3,2,2,1,2,2,1,2,1,3,2,1,1,3,3,2,3,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,09.5 to 20 mo,90,16,19,16,11,15,13,16,11
