raw,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,TOT_NT,PLA_NT,SOC_NT
10,40,40,43,44,43,42,,40,40
11,42,44,49,50,48,46,,43,41
12,46,48,54,55,52,50,,46,44
13,49,51,58,59,55,54,,48,47
14,52,54,63,64,59,57,,51,49
15,55,57,67,68,62,60,,53,51
16,58,60,70,71,65,63,,55,53
17,61,62,74,75,68,66,,57,55
18,63,65,77,78,70,69,,59,56
19,66,67,80,80,73,71,,61,58
20,68,69,80,80,75,74,,62,60
21,70,71,80,80,78,76,,64,61
22,72,73,80,80,80,78,,65,63
23,74,75,80,80,80,78,,67,64
24,76,77,80,80,80,78,,68,65
25,77,79,80,80,80,80,,70,66
26,79,79,80,80,80,80,,71,68
27,80,80,80,80,80,80,,72,69
28,80,80,80,80,80,80,,73,70
29,80,80,80,80,80,80,,75,71
30,80,80,80,80,80,80,,76,72
31,80,80,80,80,80,80,,77,73
32,80,80,80,80,80,80,,78,74
33,80,80,80,80,80,80,,79,75
34,80,80,80,80,80,80,,80,76
35,80,80,80,80,80,80,,80,76
36,80,80,80,80,80,80,,80,76
37,80,80,80,80,80,80,,80,78
38,80,80,80,80,80,80,,80,78
39,80,80,80,80,80,80,,80,78
40,80,80,80,80,80,80,,80,78
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,40,,
61,,,,,,,41,,
62,,,,,,,42,,
63,,,,,,,43,,
64,,,,,,,43,,
65,,,,,,,44,,
66,,,,,,,45,,
67,,,,,,,46,,
68,,,,,,,47,,
69,,,,,,,48,,
70,,,,,,,48,,
71,,,,,,,49,,
72,,,,,,,50,,
73,,,,,,,51,,
74,,,,,,,51,,
75,,,,,,,52,,
76,,,,,,,53,,
77,,,,,,,54,,
78,,,,,,,54,,
79,,,,,,,55,,
80,,,,,,,56,,
81,,,,,,,56,,
82,,,,,,,57,,
83,,,,,,,58,,
84,,,,,,,58,,
85,,,,,,,59,,
86,,,,,,,60,,
87,,,,,,,60,,
88,,,,,,,61,,
89,,,,,,,61,,
90,,,,,,,62,,
91,,,,,,,63,,
