AgeGroup,TOT_raw,n,perc,cum_per
15.75 to 20.99 years,78,1,3.125,3.125
15.75 to 20.99 years,79,1,3.125,6.25
15.75 to 20.99 years,81,1,3.125,9.375
15.75 to 20.99 years,86,1,3.125,12.5
15.75 to 20.99 years,89,2,6.25,18.75
15.75 to 20.99 years,92,1,3.125,21.875
15.75 to 20.99 years,94,1,3.125,25
15.75 to 20.99 years,97,1,3.125,28.125
15.75 to 20.99 years,98,1,3.125,31.25
15.75 to 20.99 years,99,1,3.125,34.375
15.75 to 20.99 years,101,1,3.125,37.5
15.75 to 20.99 years,103,1,3.125,40.625
15.75 to 20.99 years,105,1,3.125,43.75
15.75 to 20.99 years,109,1,3.125,46.875
15.75 to 20.99 years,114,1,3.125,50
15.75 to 20.99 years,120,1,3.125,53.125
15.75 to 20.99 years,124,1,3.125,56.25
15.75 to 20.99 years,128,1,3.125,59.375
15.75 to 20.99 years,129,1,3.125,62.5
15.75 to 20.99 years,136,1,3.125,65.625
15.75 to 20.99 years,139,1,3.125,68.75
15.75 to 20.99 years,143,1,3.125,71.875
15.75 to 20.99 years,144,2,6.25,78.125
15.75 to 20.99 years,145,1,3.125,81.25
15.75 to 20.99 years,148,1,3.125,84.375
15.75 to 20.99 years,153,1,3.125,87.5
15.75 to 20.99 years,168,1,3.125,90.625
15.75 to 20.99 years,170,1,3.125,93.75
15.75 to 20.99 years,184,1,3.125,96.875
15.75 to 20.99 years,198,1,3.125,100
21.00 to 30.99 years,66,1,2.0408,2.0408
21.00 to 30.99 years,80,1,2.0408,4.0816
21.00 to 30.99 years,81,1,2.0408,6.1224
21.00 to 30.99 years,84,1,2.0408,8.1633
21.00 to 30.99 years,87,1,2.0408,10.2041
21.00 to 30.99 years,88,1,2.0408,12.2449
21.00 to 30.99 years,90,1,2.0408,14.2857
21.00 to 30.99 years,91,1,2.0408,16.3265
21.00 to 30.99 years,92,1,2.0408,18.3673
21.00 to 30.99 years,97,1,2.0408,20.4082
21.00 to 30.99 years,98,1,2.0408,22.449
21.00 to 30.99 years,100,1,2.0408,24.4898
21.00 to 30.99 years,103,1,2.0408,26.5306
21.00 to 30.99 years,106,1,2.0408,28.5714
21.00 to 30.99 years,108,1,2.0408,30.6122
21.00 to 30.99 years,109,1,2.0408,32.6531
21.00 to 30.99 years,111,1,2.0408,34.6939
21.00 to 30.99 years,112,1,2.0408,36.7347
21.00 to 30.99 years,114,1,2.0408,38.7755
21.00 to 30.99 years,117,2,4.0816,42.8571
21.00 to 30.99 years,120,1,2.0408,44.898
21.00 to 30.99 years,124,1,2.0408,46.9388
21.00 to 30.99 years,125,1,2.0408,48.9796
21.00 to 30.99 years,127,1,2.0408,51.0204
21.00 to 30.99 years,128,1,2.0408,53.0612
21.00 to 30.99 years,129,1,2.0408,55.102
21.00 to 30.99 years,131,3,6.1224,61.2245
21.00 to 30.99 years,134,1,2.0408,63.2653
21.00 to 30.99 years,136,2,4.0816,67.3469
21.00 to 30.99 years,138,1,2.0408,69.3878
21.00 to 30.99 years,139,2,4.0816,73.4694
21.00 to 30.99 years,143,2,4.0816,77.551
21.00 to 30.99 years,144,2,4.0816,81.6327
21.00 to 30.99 years,153,2,4.0816,85.7143
21.00 to 30.99 years,155,1,2.0408,87.7551
21.00 to 30.99 years,159,2,4.0816,91.8367
21.00 to 30.99 years,163,1,2.0408,93.8776
21.00 to 30.99 years,168,1,2.0408,95.9184
21.00 to 30.99 years,180,1,2.0408,97.9592
21.00 to 30.99 years,190,1,2.0408,100
31.00 to 40.99 years,68,1,2.9412,2.9412
31.00 to 40.99 years,71,2,5.8824,8.8235
31.00 to 40.99 years,75,2,5.8824,14.7059
31.00 to 40.99 years,77,1,2.9412,17.6471
31.00 to 40.99 years,80,1,2.9412,20.5882
31.00 to 40.99 years,84,1,2.9412,23.5294
31.00 to 40.99 years,85,2,5.8824,29.4118
31.00 to 40.99 years,88,1,2.9412,32.3529
31.00 to 40.99 years,89,2,5.8824,38.2353
31.00 to 40.99 years,92,1,2.9412,41.1765
31.00 to 40.99 years,94,1,2.9412,44.1176
31.00 to 40.99 years,96,1,2.9412,47.0588
31.00 to 40.99 years,99,1,2.9412,50
31.00 to 40.99 years,100,1,2.9412,52.9412
31.00 to 40.99 years,101,2,5.8824,58.8235
31.00 to 40.99 years,102,1,2.9412,61.7647
31.00 to 40.99 years,107,1,2.9412,64.7059
31.00 to 40.99 years,111,3,8.8235,73.5294
31.00 to 40.99 years,113,1,2.9412,76.4706
31.00 to 40.99 years,117,2,5.8824,82.3529
31.00 to 40.99 years,118,1,2.9412,85.2941
31.00 to 40.99 years,120,1,2.9412,88.2353
31.00 to 40.99 years,139,1,2.9412,91.1765
