IDNumber,data
141206,Eng
143015,Eng
143016,Eng
169005,Eng
169020,Eng
171007,Eng
176024,Eng
189102,Eng
190081,Eng
204057,Eng
204058,Eng
204059,Eng
204060,Eng
209036,Eng
215009,Eng
217002,Eng
217006,Eng
217007,Eng
217008,Eng
223013,Eng
224005,Eng
225006,Eng
225009,Eng
225033,Eng
254031,Eng
275001,Eng
275007,Eng
318030,Eng
318038,Eng
318093,Eng
318094,Eng
318096,Eng
318098,Eng
318101,Eng
318112,Sp
318113,Sp
318114,Sp
318117,Sp
318118,Sp
322003,Eng
322063,Eng
323045,Eng
323048,Eng
323050,Eng
323052,Eng
323053,Eng
323054,Eng
323055,Eng
323057,Eng
323058,Eng
323059,Eng
323060,Eng
323061,Eng
323062,Eng
323063,Eng
323064,Eng
354040,Eng
354044,Eng
354047,Eng
354048,Eng
354049,Eng
361008,Eng
366003,Sp
700004,Eng
700013,Eng
700027,Eng
700034,Eng
700036,Eng
700044,Eng
700056,Eng
700074,Eng
700078,Eng
700085,Eng
700087,Eng
700093,Eng
700098,Eng
700100,Eng
700103,Eng
700106,Eng
700111,Eng
700123,Eng
700125,Eng
700127,Eng
700128,Eng
700131,Eng
700133,Eng
700136,Eng
700144,Eng
700145,Eng
700149,Eng
700151,Eng
700152,Eng
700156,Eng
700160,Eng
700162,Eng
700168,Eng
700169,Eng
700172,Eng
700178,Eng
700179,Eng
700181,Eng
700183,Eng
700185,Eng
700200,Eng
700201,Eng
