mod_var,mod_val,n,mean_TOT,sd_TOT,ES_lag,ES_grand
Age Range,21.00 to 30.99 years,184,100.82,21.5,,0.05
"",31.00 to 40.99 years,198,96.54,18.47,-0.21,-0.15
"",41.00 to 50.99 years,143,100.47,24.77,0.18,0.03
"",51.00 to 64.99 years,111,102.27,23.78,0.07,0.11
"",65.00 to 99.99 years,75,100.89,22.35,-0.06,0.05
Gender,Male,333,98.86,20.18,,-0.04
"",Female,378,100.61,23.34,0.08,0.04
SES,Did not complete high school (no diploma),40,100.95,30.96,,0.05
"",High school graduate (including GED),219,100.99,23.85,0,0.05
"",Some college or associate degree,261,101.33,21.91,0.01,0.07
"",Bachelor's degree or higher,191,96.07,16.44,-0.27,-0.17
Ethnicity,Hispanic,137,98.31,22.2,,-0.07
"",Asian,34,100.76,20.74,0.11,0.04
"",Black,94,102.57,30.37,0.07,0.13
"",White,417,99.63,19.8,-0.12,-0.01
"",AmericanIndAlaskanNat,3,100.67,14.01,0.06,0.04
"",NativeHawPacIsl,2,101,28.28,0.02,0.06
"",MultiRacial,18,103.72,17.05,0.12,0.18
"",Other,6,83,19.59,-1.13,-0.77
Region,northeast,101,97.46,20.15,,-0.11
"",midwest,128,103.38,29.33,0.24,0.16
"",south,286,100.28,20.3,-0.12,0.02
"",west,195,97.97,19.11,-0.12,-0.08
