raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
10,NA,25,31,28,28,30,37,31,32
11,NA,30,36,32,32,34,42,35,36
12,NA,34,40,35,36,37,47,39,39
13,NA,38,43,38,40,40,50,43,43
14,NA,41,46,40,43,43,54,46,45
15,NA,44,49,43,46,46,56,49,48
16,NA,47,52,45,49,49,59,51,51
17,NA,50,54,47,51,51,61,54,53
18,NA,52,56,50,54,53,63,56,55
19,NA,55,58,51,56,56,65,58,57
20,NA,57,60,53,58,58,66,60,59
21,NA,59,62,55,60,60,68,61,60
22,NA,61,63,57,62,62,69,63,62
23,NA,63,65,58,64,63,70,64,64
24,NA,65,66,60,66,65,71,66,65
25,NA,67,68,62,68,67,72,67,66
26,NA,69,69,63,69,68,73,68,68
27,NA,71,70,64,71,70,74,69,69
28,NA,72,71,66,72,71,75,70,70
29,NA,74,72,67,74,73,75,72,71
30,NA,75,73,68,74,73,75,73,72
31,NA,75,74,70,75,73,75,73,73
32,NA,75,75,71,75,75,75,74,73
33,NA,75,75,72,75,75,75,75,73
34,NA,75,75,73,75,75,75,75,75
35,NA,75,75,74,75,75,75,75,75
36,NA,75,75,75,75,75,75,75,75
37,NA,75,75,75,75,75,75,75,75
38,NA,75,75,75,75,75,75,75,75
39,NA,75,75,75,75,75,75,75,75
40,NA,75,75,75,75,75,75,75,75
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,25,NA,NA,NA,NA,NA,NA,NA,NA
61,26,NA,NA,NA,NA,NA,NA,NA,NA
62,27,NA,NA,NA,NA,NA,NA,NA,NA
63,28,NA,NA,NA,NA,NA,NA,NA,NA
64,29,NA,NA,NA,NA,NA,NA,NA,NA
65,30,NA,NA,NA,NA,NA,NA,NA,NA
66,30,NA,NA,NA,NA,NA,NA,NA,NA
67,31,NA,NA,NA,NA,NA,NA,NA,NA
68,32,NA,NA,NA,NA,NA,NA,NA,NA
69,33,NA,NA,NA,NA,NA,NA,NA,NA
70,33,NA,NA,NA,NA,NA,NA,NA,NA
71,34,NA,NA,NA,NA,NA,NA,NA,NA
72,35,NA,NA,NA,NA,NA,NA,NA,NA
73,36,NA,NA,NA,NA,NA,NA,NA,NA
74,36,NA,NA,NA,NA,NA,NA,NA,NA
75,37,NA,NA,NA,NA,NA,NA,NA,NA
76,38,NA,NA,NA,NA,NA,NA,NA,NA
77,38,NA,NA,NA,NA,NA,NA,NA,NA
78,39,NA,NA,NA,NA,NA,NA,NA,NA
79,40,NA,NA,NA,NA,NA,NA,NA,NA
80,40,NA,NA,NA,NA,NA,NA,NA,NA
81,41,NA,NA,NA,NA,NA,NA,NA,NA
82,42,NA,NA,NA,NA,NA,NA,NA,NA
83,42,NA,NA,NA,NA,NA,NA,NA,NA
84,43,NA,NA,NA,NA,NA,NA,NA,NA
85,44,NA,NA,NA,NA,NA,NA,NA,NA
86,44,NA,NA,NA,NA,NA,NA,NA,NA
87,45,NA,NA,NA,NA,NA,NA,NA,NA
88,45,NA,NA,NA,NA,NA,NA,NA,NA
89,46,NA,NA,NA,NA,NA,NA,NA,NA
90,46,NA,NA,NA,NA,NA,NA,NA,NA
91,47,NA,NA,NA,NA,NA,NA,NA,NA
92,48,NA,NA,NA,NA,NA,NA,NA,NA
93,48,NA,NA,NA,NA,NA,NA,NA,NA
94,49,NA,NA,NA,NA,NA,NA,NA,NA
95,49,NA,NA,NA,NA,NA,NA,NA,NA
96,50,NA,NA,NA,NA,NA,NA,NA,NA
97,50,NA,NA,NA,NA,NA,NA,NA,NA
98,51,NA,NA,NA,NA,NA,NA,NA,NA
99,51,NA,NA,NA,NA,NA,NA,NA,NA
100,52,NA,NA,NA,NA,NA,NA,NA,NA
101,52,NA,NA,NA,NA,NA,NA,NA,NA
102,53,NA,NA,NA,NA,NA,NA,NA,NA
103,53,NA,NA,NA,NA,NA,NA,NA,NA
104,54,NA,NA,NA,NA,NA,NA,NA,NA
105,54,NA,NA,NA,NA,NA,NA,NA,NA
106,55,NA,NA,NA,NA,NA,NA,NA,NA
107,55,NA,NA,NA,NA,NA,NA,NA,NA
108,56,NA,NA,NA,NA,NA,NA,NA,NA
109,56,NA,NA,NA,NA,NA,NA,NA,NA
110,56,NA,NA,NA,NA,NA,NA,NA,NA
111,57,NA,NA,NA,NA,NA,NA,NA,NA
112,57,NA,NA,NA,NA,NA,NA,NA,NA
113,58,NA,NA,NA,NA,NA,NA,NA,NA
114,58,NA,NA,NA,NA,NA,NA,NA,NA
115,59,NA,NA,NA,NA,NA,NA,NA,NA
116,59,NA,NA,NA,NA,NA,NA,NA,NA
117,59,NA,NA,NA,NA,NA,NA,NA,NA
118,59,NA,NA,NA,NA,NA,NA,NA,NA
119,60,NA,NA,NA,NA,NA,NA,NA,NA
120,61,NA,NA,NA,NA,NA,NA,NA,NA
121,61,NA,NA,NA,NA,NA,NA,NA,NA
122,61,NA,NA,NA,NA,NA,NA,NA,NA
