T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,27--40,27--40,19--40,19--40,22--40,25--40,124--240,34--40,-
79,26,25--26,-,-,-,-,122--123,33,-
78,-,-,-,18,21,22--24,120--121,32,37--40
77,25,24,18,-,-,-,118--119,31,-
76,24,-,-,-,-,21,116--117,30,34--36
75,-,23,-,17,20,-,114--115,29,33
74,23,-,17,-,-,20,-,-,32
73,-,22,-,-,19,-,111--113,28,31
72,22,-,-,-,-,-,108--110,27,30
71,-,21,-,16,-,19,107,26,29
70,21,-,16,-,18,-,104--106,25,28
69,-,20,-,-,-,18,102--103,-,27
68,20,-,-,15,17,-,100--101,24,26
67,-,19,15,-,-,-,98--99,23,-
66,19,-,-,-,-,17,96--97,-,25
65,-,18,-,-,16,-,95,22,24
64,-,-,-,14,-,-,93--94,21,23
63,18,-,14,-,-,16,91--92,-,22
62,-,17,-,-,15,-,90,20,-
61,17,-,-,-,-,-,88--89,19,21
60,-,16,-,-,-,15,86--87,-,20
59,-,-,-,13,14,-,85,18,-
58,16,-,13,-,-,-,83--84,-,19
57,-,15,-,-,-,14,82,17,-
56,-,-,-,-,-,-,80--81,-,18
55,15,-,-,12,13,-,79,16,17
54,-,14,12,-,-,13,77--78,-,-
53,-,-,-,-,-,-,76,15,16
52,14,-,-,-,12,-,75,-,-
51,-,13,-,-,-,-,73--74,14,15
50,-,-,-,11,-,12,72,-,-
49,13,-,11,-,-,-,71,-,14
48,-,12,-,-,11,-,69--70,13,-
47,-,-,-,-,-,-,68,-,13
46,12,-,-,-,-,11,67,12,-
45,-,-,-,-,-,-,66,-,-
44,-,11,-,10,-,-,65,-,12
43,-,-,10,-,10,-,63--64,11,-
42,11,-,-,-,-,10,62,-,-
41,-,-,-,-,-,-,61,-,11
40,10,10,-,-,-,-,60,10,10
