form,scale,n_Stand,mean_Stand,sd_Stand,n_Clin,mean_Clin,sd_Clin,ES
Home Form,SOC_raw,875,17.17,5.5,218,21.89,6.32,0.54
,VIS_raw,,13.17,3.39,,17.61,5.22,0.74
,HEA_raw,,12.99,4.01,,17.47,6,0.64
,TOU_raw,,13.58,3.43,,17.93,5.13,0.72
,TS_raw,,14.14,3.85,,16.75,5.09,0.41
,BOD_raw,,13.75,3.9,,18.38,5.66,0.69
,BAL_raw,,12.14,2.83,,16.7,4.88,0.87
,PLA_raw,,14.06,4.33,,21.83,7.11,0.98
,TOT_raw,,79.78,17.28,,104.83,24.93,0.84
School Form,SOC_raw,617,15.42,5.43,192,21.1,7.08,0.63
,VIS_raw,,13.6,3.55,,18.58,5.68,0.78
,HEA_raw,,13.11,3.62,,18.02,5.01,0.8
,TOU_raw,,11.43,2.45,,15.32,4.2,0.85
,TS_raw,,11.22,2.52,,13.19,4.2,0.43
,BOD_raw,,11.88,3.29,,15.35,5.21,0.59
,BAL_raw,,12.28,3.19,,15.93,4.63,0.66
,PLA_raw,,14.42,5.06,,22.45,8.2,0.88
,TOT_raw,,73.53,15.94,,96.39,23.43,0.83
