form_dx,scale,n_typ,mean_typ,sd_typ,n_clin,mean_clin,sd_clin,ES
Home-MH,SOC,42,50.26,9.68,40,57.17,8.36,0.5
,VIS,42,48.31,9.9,40,57.38,8.82,0.63
,HEA,42,50.05,9.37,40,57.45,8.68,0.54
,TOU,42,48.67,9.87,40,56.05,8.19,0.53
,TS,42,48.36,10.31,40,52.88,10.79,0.29
,BOD,42,47.5,8.83,40,55.3,9.14,0.58
,BAL,42,49.52,10.2,40,54.3,8.46,0.33
,PLA,42,49.69,10.92,40,57.5,8.05,0.52
,TOT,42,47.79,11.18,40,57.4,7.88,0.64
School-MH,SOC,47,50.4,9.69,47,57.77,11.61,0.48
,VIS,47,49.83,8.72,47,56.62,10.55,0.48
,HEA,47,50.23,9.03,47,59.62,10.61,0.65
,TOU,47,50.38,8.1,47,58.26,10.86,0.58
,TS,47,49.72,8.15,47,57.21,10.48,0.56
,BOD,47,51.3,8.98,47,56.7,11.11,0.37
,BAL,47,50.38,8.35,47,55,10.53,0.34
,PLA,47,50.38,10.03,47,60.34,10.79,0.65
,TOT,47,49.98,9.25,47,59.02,10.75,0.62
