form,scale,n_typ,mean_typ,sd_typ,n_clin,mean_clin,sd_clin,ES
Home,SOC,218,49.61,9.56,218,57.76,10.2,0.56
,VIS,218,50.25,9.14,218,60.04,9.86,0.7
,HEA,218,50.5,8.92,218,58.89,9.78,0.61
,TOU,218,50.83,9.33,218,59.81,10.14,0.62
,TS,218,49.89,9.65,218,55.76,10.58,0.39
,BOD,218,50.61,9.22,218,59.44,9.86,0.62
,BAL,218,50.71,8.53,218,61.44,9.76,0.8
,PLA,218,49.82,9.32,218,62.97,9.89,0.92
,TOT,218,50.3,9.66,218,61.35,9.51,0.77
School,SOC,192,48.96,9.42,192,58.43,10.91,0.64
,VIS,192,49.67,9.86,192,62.94,11.18,0.86
,HEA,192,50.23,9.67,192,65.45,10.2,1.03
,TOU,192,49.96,9.09,192,62.51,11.58,0.84
,TS,192,49.88,8.95,192,56.58,11.86,0.45
,BOD,192,50.35,9.28,192,58.24,12.18,0.51
,BAL,192,50.07,9.4,192,62.16,11.69,0.79
,PLA,192,49.94,9.63,192,65.44,11.1,1.02
,TOT,192,50.1,9.28,192,63.83,10.84,0.93
