sample,n,Age,Female,Male,High school graduate (including GED),Some college or associate degree,Bachelor's degree or higher,Did not complete high school (no diploma),Other,White,Asian,Black,Hispanic,MultiRacial,AmericanIndAlaskanNat,midwest,northeast,south,west
full,875,4,3,1,3,1,,,1,3,,,,,,1,1,2,
,,5,39,43,20,36,24,2,,32,3,8,36,3,,17,7,36,22
,,6,80,58,34,47,49,8,3,71,5,19,36,4,,27,12,61,38
,,7,67,55,34,31,49,8,,76,,13,25,8,,27,24,46,25
,,8,62,67,33,36,55,5,3,79,4,17,17,7,2,37,17,51,24
,,9,62,72,36,38,47,13,2,69,3,15,32,12,1,36,19,55,24
,,10,49,59,32,29,40,7,1,50,1,20,27,8,1,24,10,49,25
,,11,46,50,30,31,24,11,1,44,,18,27,5,1,25,9,39,23
,,12,29,33,19,31,5,7,1,28,,11,17,5,,11,11,32,8
60_perc,601,4,3,1,3,1,,,1,3,,,,,,1,1,2,
,,5,25,28,14,22,15,2,,20,2,6,23,2,,11,6,22,14
,,6,53,39,23,31,31,7,2,46,4,13,24,3,,18,10,39,25
,,7,43,38,20,24,31,6,,47,,9,18,7,,19,16,28,18
,,8,43,44,24,25,34,4,2,47,4,12,13,7,2,24,12,35,16
,,9,42,48,26,26,29,9,2,43,2,11,21,10,1,27,13,34,16
,,10,35,41,22,22,27,5,1,32,1,16,18,7,1,16,9,33,18
,,11,34,36,21,22,17,10,1,32,,14,18,4,1,20,8,26,16
,,12,23,25,16,22,5,5,1,20,,11,11,5,,11,7,23,7
