T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,147--240,33--40,27--40,32--40,27--40,28--40,30--40,25--40,33--40
74,143--146,32,26,31,-,27,29,24,31--32
73,137--142,-,-,29--30,26,-,28,23,29--30
72,132--136,-,25,27--28,-,26,27,-,27--28
71,130--131,31,23--24,26,25,25,26,22,-
70,127--129,30,-,25,24,-,25,21,26
69,123--126,29,22,24,23,24,23--24,20,25
68,120--122,28,21,23,22,23,22,19,24
67,118--119,-,-,22,21,22,-,-,23
66,114--117,27,20,21,20,-,21,18,22
65,110--113,26,-,20,19,21,-,17,-
64,106--109,-,19,19,-,20,20,-,21
63,104--105,25,18,-,18,-,19,16,20
62,99--103,-,-,18,-,19,-,-,19
61,97--98,24,17,17,17,-,18,15,-
60,94--96,23,16,16,-,18,-,-,18
59,91--93,22,-,-,16,-,17,14,-
58,89--90,-,15,15,-,17,-,-,17
57,87--88,21,-,14,-,16,16,-,-
56,85--86,-,-,-,15,-,-,13,16
55,84,20,14,-,-,15,15,-,15
54,82--83,-,-,13,-,-,-,-,-
53,80--81,19,-,-,14,-,14,12,14
52,78--79,18,13,-,-,14,-,-,-
51,77,17,-,12,-,-,13,-,-
50,75--76,16,-,-,13,-,-,-,13
49,74,-,12,-,-,13,-,11,-
48,72--73,15,-,-,-,-,12,-,12
47,71,-,-,11,12,-,-,-,-
46,70,14,-,-,-,12,-,-,-
45,69,-,11,-,-,-,11,-,11
44,68,13,-,-,-,-,-,-,-
43,67,-,-,-,11,11,-,-,-
42,66,12,-,-,-,-,-,-,-
41,65,-,-,-,-,-,-,10,-
40,-,-,-,10,-,-,-,-,-
39,64,11,-,-,-,-,-,-,-
38,63,-,10,-,-,-,10,-,10
37,62,-,-,-,10,-,-,-,-
36,-,-,-,-,-,10,-,-,-
35,-,-,-,-,-,-,-,-,-
34,61,10,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,60,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
