T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,136--240,31--40,33--40,26--40,24--40,22--40,26--40,25--40,28--40
74,-,-,26--32,25,-,-,-,24,27
73,-,-,-,-,23,-,25,-,-
72,-,-,25,24,-,21,-,23,26
71,126--135,28--30,-,-,22,-,-,-,25
70,125,27,-,23,-,20,24,-,-
69,122--124,-,24,-,-,-,-,22,24
68,121,26,-,-,21,-,23,-,-
67,120,-,23,22,-,19,-,21,23
66,117--119,25,-,-,-,-,22,-,22
65,115--116,-,22,21,20,18,-,20,-
64,113--114,24,-,-,-,-,-,-,21
63,112,23,-,20,-,-,21,-,-
62,110--111,-,21,-,19,17,-,19,20
61,108--109,22,-,-,-,-,20,-,-
60,106--107,-,20,19,18,-,-,-,19
59,105,21,-,-,-,16,-,18,-
58,103--104,-,-,-,-,-,19,-,18
57,101--102,20,19,18,17,-,-,17,-
56,100,-,-,-,-,15,18,-,17
55,98--99,19,18,17,-,-,-,-,-
54,96--97,-,-,-,16,-,-,16,16
53,95,18,-,-,-,14,17,-,-
52,93--94,-,17,16,-,-,-,-,15
51,92,-,-,-,15,-,-,15,-
50,90--91,17,16,-,-,13,16,-,14
49,88--89,-,-,15,-,-,-,-,-
48,87,16,-,-,-,-,-,14,-
47,85--86,-,15,-,14,12,15,-,13
46,84,15,-,14,-,-,-,-,-
45,82--83,-,-,-,-,-,-,13,12
44,81,14,14,-,13,-,14,-,-
43,79--80,-,-,13,-,11,-,-,11
42,78,-,-,-,-,-,-,12,-
41,76--77,13,13,-,12,-,13,-,-
40,75,-,-,12,-,10,-,-,10
39,74,12,-,-,-,-,-,11,-
38,72--73,-,12,-,-,-,12,-,-
37,71,-,-,11,11,-,-,-,-
36,69--70,11,-,-,-,-,-,-,-
35,68,-,-,-,-,-,11,10,-
34,67,-,11,-,-,-,-,-,-
33,65--66,10,-,10,10,-,-,-,-
32,64,-,-,-,-,-,-,-,-
31,-,-,10,-,-,-,10,-,-
30,61--63,-,-,-,-,-,-,-,-
29,60,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
