T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,139--240,60--240,60--240,60--240,60--240,60--240,60--240,60--240,60--240
74,137--138,-,-,-,-,-,-,-,-
73,135--136,-,-,-,-,-,-,-,-
72,131--134,-,-,-,-,-,-,-,-
71,128--130,-,-,-,-,-,-,-,-
70,126--127,-,-,-,-,-,-,-,-
69,123--125,-,-,-,-,-,-,-,-
68,121--122,-,-,-,-,-,-,-,-
67,119--120,-,-,-,-,-,-,-,-
66,117--118,-,-,-,-,-,-,-,-
65,115--116,-,-,-,-,-,-,-,-
64,112--114,-,-,-,-,-,-,-,-
63,110--111,-,-,-,-,-,-,-,-
62,108--109,-,-,-,-,-,-,-,-
61,106--107,-,-,-,-,-,-,-,-
60,104--105,-,-,-,-,-,-,-,-
59,102--103,-,-,-,-,-,-,-,-
58,101,-,-,-,-,-,-,-,-
57,99--100,-,-,-,-,-,-,-,-
56,97--98,-,-,-,-,-,-,-,-
55,95--96,-,-,-,-,-,-,-,-
54,93--94,-,-,-,-,-,-,-,-
53,92,-,-,-,-,-,-,-,-
52,90--91,-,-,-,-,-,-,-,-
51,88--89,-,-,-,-,-,-,-,-
50,87,-,-,-,-,-,-,-,-
49,85--86,-,-,-,-,-,-,-,-
48,83--84,-,-,-,-,-,-,-,-
47,82,-,-,-,-,-,-,-,-
46,80--81,-,-,-,-,-,-,-,-
45,79,-,-,-,-,-,-,-,-
44,77--78,-,-,-,-,-,-,-,-
43,76,-,-,-,-,-,-,-,-
42,75,-,-,-,-,-,-,-,-
41,73--74,-,-,-,-,-,-,-,-
40,72,-,-,-,-,-,-,-,-
39,71,-,-,-,-,-,-,-,-
38,69--70,-,-,-,-,-,-,-,-
37,68,-,-,-,-,-,-,-,-
36,67,-,-,-,-,-,-,-,-
35,65--66,-,-,-,-,-,-,-,-
34,64,-,-,-,-,-,-,-,-
33,63,-,-,-,-,-,-,-,-
32,62,-,-,-,-,-,-,-,-
31,61,-,-,-,-,-,-,-,-
30,60,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
