T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,-,-,-,-,-,-,-,-,-
74,-,-,-,-,-,-,-,-,-
73,157--240,-,34--40,28--40,26--40,-,27--40,30--40,-
72,-,29--40,-,-,-,23--40,-,-,34--40
71,144--156,-,33,26--27,-,-,23--26,28--29,-
70,-,-,-,-,22--25,-,-,-,-
69,133--143,28,32,25,-,22,-,25--27,33
68,122--132,27,28--31,-,-,20--21,21--22,23--24,-
67,-,-,-,24,21,18--19,-,-,32
66,119--121,25--26,27,22--23,-,-,20,22,-
65,114--118,-,-,21,20,16--17,-,-,31
64,-,24,26,-,19,-,19,21,30
63,111--113,-,-,20,-,15,-,20,-
62,107--110,23,-,-,18,-,-,-,29
61,105--106,22,25,19,-,14,18,19,-
60,103--104,-,-,-,17,-,-,-,28
59,102,21,-,18,-,13,-,-,27
58,100--101,20,24,17,-,-,17,18,26
57,98--99,-,-,-,16,12,-,-,25
56,97,19,23,16,-,-,16,-,-
55,95--96,-,-,-,-,-,-,17,24
54,93--94,18,22,-,-,-,-,-,23
53,92,-,-,-,15,-,15,-,22
52,91,17,-,15,-,11,-,16,-
51,90,-,21,-,-,-,-,-,21
50,89,-,-,-,-,-,-,-,20
49,88,16,-,-,14,-,14,15,19
48,-,-,20,-,-,-,-,-,18
47,87,15,-,14,-,-,-,-,17
46,-,-,-,-,-,-,-,14,16
45,86,14,19,-,-,-,-,-,15
44,85,-,-,13,13,-,13,-,14
43,-,13,18,-,-,10,-,13,13
42,84,-,-,-,-,-,-,-,12
41,83,-,17,-,-,-,-,-,-
40,-,12,-,-,12,-,-,12,11
39,81--82,-,16,12,-,-,12,-,-
38,80,-,-,-,-,-,-,-,-
37,79,-,-,-,-,-,-,-,-
36,78,-,15,-,11,-,-,-,-
35,77,11,14,11,-,-,-,11,10
34,74--76,-,13,-,-,-,11,-,-
33,73,-,-,-,-,-,-,-,-
32,69--72,-,12,-,10,-,-,-,-
31,65--68,-,-,10,-,-,-,-,-
30,-,-,-,-,-,-,-,10,-
29,63--64,10,11,-,-,-,-,-,-
28,-,-,-,-,-,-,10,-,-
27,-,-,-,-,-,-,-,-,-
26,60--62,-,10,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
