raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
10,NA,32,27,30,30,40,29,37,35
11,NA,39,30,37,37,48,36,44,39
12,NA,43,33,43,42,53,40,47,41
13,NA,47,36,48,46,58,44,51,42
14,NA,49,38,51,50,60,48,54,44
15,NA,52,42,54,53,63,52,56,47
16,NA,54,44,57,55,66,56,59,48
17,NA,56,46,61,58,68,59,60,50
18,NA,59,49,63,62,70,62,62,52
19,NA,62,52,65,65,72,64,65,53
20,NA,66,55,68,70,72,67,68,55
21,NA,70,56,70,70,72,67,70,56
22,NA,70,58,70,72,72,70,72,59
23,NA,70,61,72,72,72,72,72,62
24,NA,72,64,72,72,72,72,72,63
25,NA,72,68,72,72,72,72,72,65
26,NA,72,68,72,72,72,72,72,67
27,NA,72,70,72,72,72,72,72,69
28,NA,72,70,72,72,72,72,72,72
29,NA,72,70,72,72,72,72,72,72
30,NA,72,72,72,72,72,72,72,72
31,NA,72,72,72,72,72,72,72,72
32,NA,72,72,72,72,72,72,72,72
33,NA,72,72,72,72,72,72,72,72
34,NA,72,72,72,72,72,72,72,72
35,NA,72,72,72,72,72,72,72,72
36,NA,72,72,72,72,72,72,72,72
37,NA,72,72,72,72,72,72,72,72
38,NA,72,72,72,72,72,72,72,72
39,NA,72,72,72,72,72,72,72,72
40,NA,72,72,72,72,72,72,72,72
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,27,NA,NA,NA,NA,NA,NA,NA,NA
61,27,NA,NA,NA,NA,NA,NA,NA,NA
62,27,NA,NA,NA,NA,NA,NA,NA,NA
63,27,NA,NA,NA,NA,NA,NA,NA,NA
64,30,NA,NA,NA,NA,NA,NA,NA,NA
65,30,NA,NA,NA,NA,NA,NA,NA,NA
66,32,NA,NA,NA,NA,NA,NA,NA,NA
67,32,NA,NA,NA,NA,NA,NA,NA,NA
68,32,NA,NA,NA,NA,NA,NA,NA,NA
69,32,NA,NA,NA,NA,NA,NA,NA,NA
70,34,NA,NA,NA,NA,NA,NA,NA,NA
71,34,NA,NA,NA,NA,NA,NA,NA,NA
72,36,NA,NA,NA,NA,NA,NA,NA,NA
73,36,NA,NA,NA,NA,NA,NA,NA,NA
74,36,NA,NA,NA,NA,NA,NA,NA,NA
75,38,NA,NA,NA,NA,NA,NA,NA,NA
76,40,NA,NA,NA,NA,NA,NA,NA,NA
77,41,NA,NA,NA,NA,NA,NA,NA,NA
78,42,NA,NA,NA,NA,NA,NA,NA,NA
79,43,NA,NA,NA,NA,NA,NA,NA,NA
80,44,NA,NA,NA,NA,NA,NA,NA,NA
81,44,NA,NA,NA,NA,NA,NA,NA,NA
82,45,NA,NA,NA,NA,NA,NA,NA,NA
83,46,NA,NA,NA,NA,NA,NA,NA,NA
84,48,NA,NA,NA,NA,NA,NA,NA,NA
85,49,NA,NA,NA,NA,NA,NA,NA,NA
86,50,NA,NA,NA,NA,NA,NA,NA,NA
87,51,NA,NA,NA,NA,NA,NA,NA,NA
88,53,NA,NA,NA,NA,NA,NA,NA,NA
89,53,NA,NA,NA,NA,NA,NA,NA,NA
90,54,NA,NA,NA,NA,NA,NA,NA,NA
91,55,NA,NA,NA,NA,NA,NA,NA,NA
92,55,NA,NA,NA,NA,NA,NA,NA,NA
93,56,NA,NA,NA,NA,NA,NA,NA,NA
94,56,NA,NA,NA,NA,NA,NA,NA,NA
95,57,NA,NA,NA,NA,NA,NA,NA,NA
96,58,NA,NA,NA,NA,NA,NA,NA,NA
97,59,NA,NA,NA,NA,NA,NA,NA,NA
98,60,NA,NA,NA,NA,NA,NA,NA,NA
99,60,NA,NA,NA,NA,NA,NA,NA,NA
100,61,NA,NA,NA,NA,NA,NA,NA,NA
101,62,NA,NA,NA,NA,NA,NA,NA,NA
102,63,NA,NA,NA,NA,NA,NA,NA,NA
103,63,NA,NA,NA,NA,NA,NA,NA,NA
104,63,NA,NA,NA,NA,NA,NA,NA,NA
105,64,NA,NA,NA,NA,NA,NA,NA,NA
106,64,NA,NA,NA,NA,NA,NA,NA,NA
107,64,NA,NA,NA,NA,NA,NA,NA,NA
108,65,NA,NA,NA,NA,NA,NA,NA,NA
109,65,NA,NA,NA,NA,NA,NA,NA,NA
110,66,NA,NA,NA,NA,NA,NA,NA,NA
111,68,NA,NA,NA,NA,NA,NA,NA,NA
112,70,NA,NA,NA,NA,NA,NA,NA,NA
113,70,NA,NA,NA,NA,NA,NA,NA,NA
114,70,NA,NA,NA,NA,NA,NA,NA,NA
115,70,NA,NA,NA,NA,NA,NA,NA,NA
116,70,NA,NA,NA,NA,NA,NA,NA,NA
117,70,NA,NA,NA,NA,NA,NA,NA,NA
118,70,NA,NA,NA,NA,NA,NA,NA,NA
119,70,NA,NA,NA,NA,NA,NA,NA,NA
120,72,NA,NA,NA,NA,NA,NA,NA,NA
121,72,NA,NA,NA,NA,NA,NA,NA,NA
122,72,NA,NA,NA,NA,NA,NA,NA,NA
123,72,NA,NA,NA,NA,NA,NA,NA,NA
124,72,NA,NA,NA,NA,NA,NA,NA,NA
125,72,NA,NA,NA,NA,NA,NA,NA,NA
126,72,NA,NA,NA,NA,NA,NA,NA,NA
127,72,NA,NA,NA,NA,NA,NA,NA,NA
128,72,NA,NA,NA,NA,NA,NA,NA,NA
129,72,NA,NA,NA,NA,NA,NA,NA,NA
130,72,NA,NA,NA,NA,NA,NA,NA,NA
131,72,NA,NA,NA,NA,NA,NA,NA,NA
132,72,NA,NA,NA,NA,NA,NA,NA,NA
133,72,NA,NA,NA,NA,NA,NA,NA,NA
134,72,NA,NA,NA,NA,NA,NA,NA,NA
135,72,NA,NA,NA,NA,NA,NA,NA,NA
136,72,NA,NA,NA,NA,NA,NA,NA,NA
137,72,NA,NA,NA,NA,NA,NA,NA,NA
138,72,NA,NA,NA,NA,NA,NA,NA,NA
139,72,NA,NA,NA,NA,NA,NA,NA,NA
140,72,NA,NA,NA,NA,NA,NA,NA,NA
141,72,NA,NA,NA,NA,NA,NA,NA,NA
142,72,NA,NA,NA,NA,NA,NA,NA,NA
143,72,NA,NA,NA,NA,NA,NA,NA,NA
144,72,NA,NA,NA,NA,NA,NA,NA,NA
145,72,NA,NA,NA,NA,NA,NA,NA,NA
146,72,NA,NA,NA,NA,NA,NA,NA,NA
147,72,NA,NA,NA,NA,NA,NA,NA,NA
148,72,NA,NA,NA,NA,NA,NA,NA,NA
149,72,NA,NA,NA,NA,NA,NA,NA,NA
150,72,NA,NA,NA,NA,NA,NA,NA,NA
151,72,NA,NA,NA,NA,NA,NA,NA,NA
152,72,NA,NA,NA,NA,NA,NA,NA,NA
153,72,NA,NA,NA,NA,NA,NA,NA,NA
154,72,NA,NA,NA,NA,NA,NA,NA,NA
155,72,NA,NA,NA,NA,NA,NA,NA,NA
156,72,NA,NA,NA,NA,NA,NA,NA,NA
157,72,NA,NA,NA,NA,NA,NA,NA,NA
158,72,NA,NA,NA,NA,NA,NA,NA,NA
159,72,NA,NA,NA,NA,NA,NA,NA,NA
160,72,NA,NA,NA,NA,NA,NA,NA,NA
161,72,NA,NA,NA,NA,NA,NA,NA,NA
162,72,NA,NA,NA,NA,NA,NA,NA,NA
163,72,NA,NA,NA,NA,NA,NA,NA,NA
164,72,NA,NA,NA,NA,NA,NA,NA,NA
165,72,NA,NA,NA,NA,NA,NA,NA,NA
166,72,NA,NA,NA,NA,NA,NA,NA,NA
167,72,NA,NA,NA,NA,NA,NA,NA,NA
168,72,NA,NA,NA,NA,NA,NA,NA,NA
169,72,NA,NA,NA,NA,NA,NA,NA,NA
170,72,NA,NA,NA,NA,NA,NA,NA,NA
171,72,NA,NA,NA,NA,NA,NA,NA,NA
172,72,NA,NA,NA,NA,NA,NA,NA,NA
173,72,NA,NA,NA,NA,NA,NA,NA,NA
174,72,NA,NA,NA,NA,NA,NA,NA,NA
175,72,NA,NA,NA,NA,NA,NA,NA,NA
176,72,NA,NA,NA,NA,NA,NA,NA,NA
177,72,NA,NA,NA,NA,NA,NA,NA,NA
178,72,NA,NA,NA,NA,NA,NA,NA,NA
179,72,NA,NA,NA,NA,NA,NA,NA,NA
180,72,NA,NA,NA,NA,NA,NA,NA,NA
181,72,NA,NA,NA,NA,NA,NA,NA,NA
182,72,NA,NA,NA,NA,NA,NA,NA,NA
