form,scale,n_Stand,mean_Stand,sd_Stand,form1,n_Clin,mean_Clin,sd_Clin,ES
Home Form Stand,SOC_raw,875,17.17,5.5,Home Form Clin,218,21.89,6.32,0.54
,VIS_raw,875,13.17,3.39,,218,17.61,5.22,0.74
,HEA_raw,875,12.99,4.01,,218,17.47,6,0.64
,TOU_raw,875,13.58,3.43,,218,17.93,5.13,0.72
,TS_raw,875,14.14,3.85,,218,16.75,5.09,0.41
,BOD_raw,875,13.75,3.9,,218,18.38,5.66,0.69
,BAL_raw,875,12.14,2.83,,218,16.7,4.88,0.87
,PLA_raw,875,14.06,4.33,,218,21.83,7.11,0.98
,TOT_raw,875,79.78,17.28,,218,104.83,24.93,0.84
School Form Stand,SOC_raw,555,15.93,5.5,School Form Clin,192,22.92,7.59,0.75
,VIS_raw,555,13.04,3.37,,192,17.59,5.33,0.75
,HEA_raw,555,12.25,3.07,,192,16.19,4.53,0.74
,TOU_raw,555,11.5,2.47,,192,14.83,3.99,0.75
,TS_raw,555,11.1,2.34,,192,13.05,4,0.45
,BOD_raw,555,12.16,3.28,,192,16.1,5.21,0.67
,BAL_raw,555,11.9,2.71,,192,14.49,3.78,0.56
,PLA_raw,555,13.26,4.2,,192,20.58,7.72,0.91
,TOT_raw,555,71.96,14.86,,192,92.24,21.87,0.79
