form,scale,n_Stand,mean_Stand,sd_Stand,form1,n_Clin,mean_Clin,sd_Clin,ES
Self Form Stand,SOC_raw,711,18.16,4.4,Self Form Clin,120,19.62,5,0.21
,VIS_raw,711,15.95,4.37,,120,19.08,6.02,0.42
,HEA_raw,711,18.63,5.28,,120,21.62,7.08,0.34
,TOU_raw,711,17.4,4.42,,120,19.02,4.64,0.24
,TS_raw,711,17.44,4.46,,120,17.48,4.59,0.01
,BOD_raw,711,13.98,3.98,,120,14.93,4.99,0.15
,BAL_raw,711,16.4,4.81,,120,18.23,5.31,0.24
,PLA_raw,711,16.6,4.9,,120,20.08,7.01,0.41
,TOT_raw,711,99.79,21.92,,120,110.35,26.38,0.3
Other Form Stand,SOC_raw,604,16.68,4.56,Other Form Clin,116,19.61,5.99,0.39
,VIS_raw,604,13.83,4.06,,116,16.88,5.87,0.44
,HEA_raw,604,15.04,4.53,,116,17.31,6.07,0.3
,TOU_raw,604,14.43,3.83,,116,15.16,3.89,0.13
,TS_raw,604,15.1,4.67,,116,15.6,4.77,0.07
,BOD_raw,604,12.91,3.61,,116,14.44,5.08,0.25
,BAL_raw,604,13.07,3.96,,116,15.01,5.27,0.29
,PLA_raw,604,14.57,4.53,,116,18.82,7.36,0.52
,TOT_raw,604,84.38,20.48,,116,94.41,24.11,0.31
