form,scale,alpha_25,alpha_24,alpha_5,SEM_25,CV_90,CV_95
Home Form,SOC,0.9,0.89,0.92,3.22,5.3,6.31
,VIS,0.84,0.83,0.89,4,6.59,7.85
,HEA,0.87,0.86,0.91,3.65,6,7.15
,TOU,0.81,0.79,0.91,4.36,7.18,8.55
,TS,0.83,0.82,0.88,4.12,6.78,8.08
,BOD,0.88,0.87,0.93,3.51,5.78,6.89
,BAL,0.83,0.8,0.9,4.16,6.84,8.16
,PLA,0.88,0.87,0.9,3.52,5.79,6.9
,TOT,0.96,0.95,0.98,2.07,3.4,4.06
School Form,SOC,0.93,0.93,0.93,2.61,4.29,5.11
,VIS,0.87,0.87,0.82,3.42,5.62,6.7
,HEA,0.88,0.88,0.86,3.21,5.28,6.29
,TOU,0.84,0.84,0.79,3.71,6.1,7.26
,TS,0.88,0.88,0.91,3.13,5.16,6.14
,BOD,0.9,0.9,0.9,2.88,4.73,5.64
,BAL,0.85,0.85,0.83,3.57,5.87,7
,PLA,0.91,0.91,0.91,2.83,4.65,5.54
,TOT,0.97,0.97,0.96,1.73,2.85,3.4
