form,scale,n,r,p
Preschool-25,SOC,266,0.468,0
,VIS,,0.484,0
,HEA,,0.554,0
,TOU,,0.554,0
,TS,,0.466,0
,BOD,,0.61,0
,BAL,,0.514,0
,PLA,,0.474,0
,TOT,,0.677,0
Child-512,SOC,396,0.476,0
,VIS,,0.413,0
,HEA,,0.402,0
,TOU,,0.366,0
,TS,,0.359,0
,BOD,,0.486,0
,BAL,,0.486,0
,PLA,,0.398,0
,TOT,,0.544,0
Teen-1221-Home-School,SOC,560,0.569,0
,VIS,,0.472,0
,HEA,,0.531,0
,TOU,,0.534,0
,TS,,0.436,0
,BOD,,0.434,0
,BAL,,0.463,0
,PLA,,0.494,0
,TOT,,0.565,0
Teen-1221-Home-Self,SOC,701,0.566,0
,VIS,,0.528,0
,HEA,,0.548,0
,TOU,,0.53,0
,TS,,0.567,0
,BOD,,0.573,0
,BAL,,0.514,0
,PLA,,0.584,0
,TOT,,0.679,0
Teen-1221-School-Self,SOC,542,0.431,0
,VIS,,0.377,0
,HEA,,0.456,0
,TOU,,0.401,0
,TS,,0.407,0
,BOD,,0.372,0
,BAL,,0.4,0
,PLA,,0.415,0
,TOT,,0.499,0
Adult-Self-Other,SOC,450,0.468,0
,VIS,,0.472,0
,HEA,,0.512,0
,TOU,,0.439,0
,TS,,0.511,0
,BOD,,0.473,0
,BAL,,0.532,0
,PLA,,0.465,0
,TOT,,0.614,0
