form,scale,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT,TOT_NT
IT-49-Home,SOC_NT,1,-0.135,0.371,0.168,0.055,-0.031,0.317,0.398,0.14
,VIS_NT,-0.135,1,0.337,0.363,0.246,0.336,0.219,0.086,0.669
,HEA_NT,0.371,0.337,1,0.458,0.403,0.334,0.527,0.413,0.698
,TOU_NT,0.168,0.363,0.458,1,0.438,0.495,0.568,0.256,0.771
,TS_NT,0.055,0.246,0.403,0.438,1,0.287,0.311,0.202,0.583
,BOD_NT,-0.031,0.336,0.334,0.495,0.287,1,0.392,0.236,0.674
,BAL_NT,0.317,0.219,0.527,0.568,0.311,0.392,1,0.391,0.679
,PLA_NT,0.398,0.086,0.413,0.256,0.202,0.236,0.391,1,0.346
,TOT_NT,0.14,0.669,0.698,0.771,0.583,0.674,0.679,0.346,1
IT-1030-Home,SOC_NT,1,0.196,0.273,0.252,0.289,0.31,0.384,0.4,0.368
,VIS_NT,0.196,1,0.666,0.477,0.333,0.503,0.458,0.332,0.763
,HEA_NT,0.273,0.666,1,0.616,0.411,0.549,0.5,0.306,0.826
,TOU_NT,0.252,0.477,0.616,1,0.505,0.577,0.526,0.312,0.795
,TS_NT,0.289,0.333,0.411,0.505,1,0.406,0.402,0.236,0.641
,BOD_NT,0.31,0.503,0.549,0.577,0.406,1,0.608,0.469,0.795
,BAL_NT,0.384,0.458,0.5,0.526,0.402,0.608,1,0.564,0.751
,PLA_NT,0.4,0.332,0.306,0.312,0.236,0.469,0.564,1,0.479
,TOT_NT,0.368,0.763,0.826,0.795,0.641,0.795,0.751,0.479,1
IT-Caregiver,SOC_NT,1,0.385,0.388,0.369,0.302,0.358,0.277,0.404,0.43
,VIS_NT,0.385,1,0.668,0.567,0.537,0.545,0.579,0.527,0.82
,HEA_NT,0.388,0.668,1,0.634,0.586,0.55,0.567,0.563,0.836
,TOU_NT,0.369,0.567,0.634,1,0.618,0.569,0.575,0.541,0.807
,TS_NT,0.302,0.537,0.586,0.618,1,0.519,0.582,0.501,0.8
,BOD_NT,0.358,0.545,0.55,0.569,0.519,1,0.624,0.583,0.761
,BAL_NT,0.277,0.579,0.567,0.575,0.582,0.624,1,0.593,0.797
,PLA_NT,0.404,0.527,0.563,0.541,0.501,0.583,0.593,1,0.672
,TOT_NT,0.43,0.82,0.836,0.807,0.8,0.761,0.797,0.672,1
