form,scale,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT,TOT_NT
Preschool-25-Home,SOC_NT,1,0.472,0.492,0.507,0.39,0.531,0.46,0.555,0.575
,VIS_NT,0.472,1,0.699,0.639,0.56,0.603,0.584,0.565,0.845
,HEA_NT,0.492,0.699,1,0.68,0.564,0.611,0.628,0.59,0.856
,TOU_NT,0.507,0.639,0.68,1,0.632,0.686,0.603,0.6,0.852
,TS_NT,0.39,0.56,0.564,0.632,1,0.559,0.553,0.481,0.761
,BOD_NT,0.531,0.603,0.611,0.686,0.559,1,0.603,0.559,0.826
,BAL_NT,0.46,0.584,0.628,0.603,0.553,0.603,1,0.646,0.762
,PLA_NT,0.555,0.565,0.59,0.6,0.481,0.559,0.646,1,0.683
,TOT_NT,0.575,0.845,0.856,0.852,0.761,0.826,0.762,0.683,1
Preschool-25-School,SOC_NT,1,0.573,0.616,0.592,0.337,0.527,0.445,0.611,0.63
,VIS_NT,0.573,1,0.765,0.682,0.518,0.6,0.595,0.643,0.847
,HEA_NT,0.616,0.765,1,0.767,0.527,0.611,0.643,0.675,0.875
,TOU_NT,0.592,0.682,0.767,1,0.638,0.686,0.683,0.672,0.883
,TS_NT,0.337,0.518,0.527,0.638,1,0.498,0.559,0.521,0.704
,BOD_NT,0.527,0.6,0.611,0.686,0.498,1,0.571,0.545,0.786
,BAL_NT,0.445,0.595,0.643,0.683,0.559,0.571,1,0.618,0.78
,PLA_NT,0.611,0.643,0.675,0.672,0.521,0.545,0.618,1,0.736
,TOT_NT,0.63,0.847,0.875,0.883,0.704,0.786,0.78,0.736,1
