form,scale,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT,TOT_NT
Child-512-Home,SOC_NT,1,0.482,0.37,0.396,0.325,0.455,0.356,0.544,0.493
,VIS_NT,0.482,1,0.62,0.615,0.506,0.585,0.581,0.616,0.784
,HEA_NT,0.37,0.62,1,0.636,0.55,0.555,0.571,0.568,0.794
,TOU_NT,0.396,0.615,0.636,1,0.639,0.649,0.614,0.649,0.842
,TS_NT,0.325,0.506,0.55,0.639,1,0.538,0.495,0.483,0.784
,BOD_NT,0.455,0.585,0.555,0.649,0.538,1,0.679,0.631,0.816
,BAL_NT,0.356,0.581,0.571,0.614,0.495,0.679,1,0.631,0.767
,PLA_NT,0.544,0.616,0.568,0.649,0.483,0.631,0.631,1,0.719
,TOT_NT,0.493,0.784,0.794,0.842,0.784,0.816,0.767,0.719,1
Child-512-School,SOC_NT,1,0.55,0.588,0.487,0.335,0.486,0.369,0.597,0.577
,VIS_NT,0.55,1,0.734,0.663,0.525,0.664,0.646,0.709,0.866
,HEA_NT,0.588,0.734,1,0.711,0.489,0.693,0.656,0.729,0.872
,TOU_NT,0.487,0.663,0.711,1,0.595,0.731,0.672,0.649,0.854
,TS_NT,0.335,0.525,0.489,0.595,1,0.507,0.552,0.463,0.686
,BOD_NT,0.486,0.664,0.693,0.731,0.507,1,0.715,0.686,0.862
,BAL_NT,0.369,0.646,0.656,0.672,0.552,0.715,1,0.605,0.834
,PLA_NT,0.597,0.709,0.729,0.649,0.463,0.686,0.605,1,0.776
,TOT_NT,0.577,0.866,0.872,0.854,0.686,0.862,0.834,0.776,1
