form,n,scale,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,TOT_NT,PLA_NT,SOC_NT
Teen-1221-Self,957,VIS_NT,1,0.766,0.698,0.59,0.681,0.69,0.86,0.714,0.517
,,HEA_NT,0.766,1,0.737,0.672,0.698,0.706,0.89,0.705,0.488
,,TOU_NT,0.698,0.737,1,0.709,0.694,0.689,0.871,0.691,0.474
,,TS_NT,0.59,0.672,0.709,1,0.602,0.613,0.821,0.601,0.386
,,BOD_NT,0.681,0.698,0.694,0.602,1,0.729,0.844,0.714,0.491
,,BAL_NT,0.69,0.706,0.689,0.613,0.729,1,0.839,0.749,0.466
,,TOT_NT,0.86,0.89,0.871,0.821,0.844,0.839,1,0.8,0.552
,,PLA_NT,0.714,0.705,0.691,0.601,0.714,0.749,0.8,1,0.494
,,SOC_NT,0.517,0.488,0.474,0.386,0.491,0.466,0.552,0.494,1
Teen-1221-Home,1014,VIS_NT,1,0.736,0.66,0.54,0.657,0.601,0.825,0.62,0.501
,,HEA_NT,0.736,1,0.654,0.581,0.617,0.564,0.824,0.596,0.47
,,TOU_NT,0.66,0.654,1,0.56,0.728,0.591,0.818,0.664,0.477
,,TS_NT,0.54,0.581,0.56,1,0.487,0.507,0.787,0.502,0.331
,,BOD_NT,0.657,0.617,0.728,0.487,1,0.619,0.8,0.634,0.495
,,BAL_NT,0.601,0.564,0.591,0.507,0.619,1,0.717,0.581,0.413
,,TOT_NT,0.825,0.824,0.818,0.787,0.8,0.717,1,0.719,0.536
,,PLA_NT,0.62,0.596,0.664,0.502,0.634,0.581,0.719,1,0.488
,,SOC_NT,0.501,0.47,0.477,0.331,0.495,0.413,0.536,0.488,1
Teen-1221-School,645,VIS_NT,1,0.724,0.668,0.581,0.663,0.646,0.811,0.607,0.399
,,HEA_NT,0.724,1,0.683,0.684,0.687,0.706,0.869,0.605,0.377
,,TOU_NT,0.668,0.683,1,0.623,0.712,0.687,0.769,0.584,0.371
,,TS_NT,0.581,0.684,0.623,1,0.601,0.641,0.774,0.537,0.275
,,BOD_NT,0.663,0.687,0.712,0.601,1,0.712,0.783,0.592,0.374
,,BAL_NT,0.646,0.706,0.687,0.641,0.712,1,0.783,0.562,0.325
,,TOT_NT,0.811,0.869,0.769,0.774,0.783,0.783,1,0.692,0.45
,,PLA_NT,0.607,0.605,0.584,0.537,0.592,0.562,0.692,1,0.529
,,SOC_NT,0.399,0.377,0.371,0.275,0.374,0.325,0.45,0.529,1
