form,n,SPM2_row_label,SP2_col_label,r,p
IT-49-Home-Stand,9,SOC,Gn,0.333,0.381
,,VIS,Gn,0.164,0.673
,,HEA,Gn,0.707,0.033
,,TOU,Gn,0.451,0.223
,,TS,Gn,0.652,0.057
,,BOD,Gn,0.48,0.191
,,BAL,Gn,0.697,0.037
,,PLA,Gn,0.544,0.13
,,TOT,Gn,0.679,0.044
,,SOC,Ad,0.263,0.494
,,VIS,Ad,0.137,0.725
,,HEA,Ad,0.396,0.292
,,TOU,Ad,0.664,0.051
,,TS,Ad,0.381,0.312
,,BOD,Ad,0.378,0.316
,,BAL,Ad,0.637,0.065
,,PLA,Ad,0.376,0.318
,,TOT,Ad,0.535,0.138
,,SOC,Vs,0.381,0.312
,,VIS,Vs,0.16,0.682
,,HEA,Vs,0.585,0.098
,,TOU,Vs,0.555,0.121
,,TS,Vs,0.677,0.045
,,BOD,Vs,0.619,0.076
,,BAL,Vs,0.734,0.024
,,PLA,Vs,0.45,0.225
,,TOT,Vs,0.691,0.039
,,SOC,Tc,-0.017,0.966
,,VIS,Tc,0.398,0.289
,,HEA,Tc,0.343,0.366
,,TOU,Tc,0.371,0.326
,,TS,Tc,0.311,0.416
,,BOD,Tc,0.685,0.042
,,BAL,Tc,0.55,0.125
,,PLA,Tc,0.692,0.039
,,TOT,Tc,0.665,0.051
,,SOC,Mv,0.276,0.472
,,VIS,Mv,0.215,0.578
,,HEA,Mv,0.693,0.039
,,TOU,Mv,0.544,0.13
,,TS,Mv,0.422,0.258
,,BOD,Mv,0.616,0.077
,,BAL,Mv,0.761,0.017
,,PLA,Mv,0.661,0.053
,,TOT,Mv,0.741,0.022
,,SOC,OS,0.308,0.42
,,VIS,OS,-0.254,0.51
,,HEA,OS,0.426,0.253
,,TOU,OS,0.328,0.39
,,TS,OS,0.635,0.066
,,BOD,OS,-0.054,0.891
,,BAL,OS,0.314,0.411
,,PLA,OS,-0.141,0.717
,,TOT,OS,0.147,0.706
,,SOC,TSS,0.316,0.408
,,VIS,TSS,0.191,0.623
,,HEA,TSS,0.645,0.061
,,TOU,TSS,0.55,0.125
,,TS,TSS,0.621,0.074
,,BOD,TSS,0.575,0.105
,,BAL,TSS,0.743,0.022
,,PLA,TSS,0.552,0.123
,,TOT,TSS,0.715,0.03
IT-49-Home-Clin,9,SOC,Gn,0.442,0.234
,,VIS,Gn,-0.148,0.703
,,HEA,Gn,0.434,0.243
,,TOU,Gn,0.282,0.463
,,TS,Gn,0.129,0.741
