form,n,SPM2_row_label,SP2_col_label,r,p
Preschool-25-Home-Stand,17,SOC,Ad,0.452,0.068
,,VIS,Ad,0.762,0
,,HEA,Ad,0.503,0.039
,,TOU,Ad,0.289,0.261
,,TS,Ad,0.52,0.032
,,BOD,Ad,0.471,0.056
,,BAL,Ad,0.284,0.269
,,PLA,Ad,0.555,0.021
,,TOT,Ad,0.625,0.007
,,SOC,Vs,0.476,0.053
,,VIS,Vs,0.43,0.085
,,HEA,Vs,0.424,0.09
,,TOU,Vs,0.294,0.253
,,TS,Vs,0.155,0.553
,,BOD,Vs,0.418,0.095
,,BAL,Vs,0.033,0.901
,,PLA,Vs,0.41,0.102
,,TOT,Vs,0.396,0.115
,,SOC,Tc,0.301,0.241
,,VIS,Tc,0.043,0.87
,,HEA,Tc,0.186,0.475
,,TOU,Tc,0.483,0.049
,,TS,Tc,0.485,0.048
,,BOD,Tc,0.069,0.791
,,BAL,Tc,0.284,0.268
,,PLA,Tc,0.047,0.858
,,TOT,Tc,0.283,0.271
,,SOC,Mv,0.653,0.004
,,VIS,Mv,0.4,0.112
,,HEA,Mv,0.661,0.004
,,TOU,Mv,0.588,0.013
,,TS,Mv,0.245,0.343
,,BOD,Mv,0.702,0.002
,,BAL,Mv,0.596,0.012
,,PLA,Mv,0.825,0
,,TOT,Mv,0.652,0.005
,,SOC,BP,0.411,0.101
,,VIS,BP,0.352,0.166
,,HEA,BP,0.375,0.138
,,TOU,BP,0.213,0.411
,,TS,BP,-0.061,0.816
,,BOD,BP,0.456,0.066
,,BAL,BP,0.247,0.338
,,PLA,BP,0.532,0.028
,,TOT,BP,0.348,0.171
,,SOC,Or,0.47,0.057
,,VIS,Or,0.185,0.477
,,HEA,Or,0.44,0.077
,,TOU,Or,0.581,0.014
,,TS,Or,0.76,0
,,BOD,Or,0.181,0.486
,,BAL,Or,0.32,0.211
,,PLA,Or,0.133,0.61
,,TOT,Or,0.48,0.051
,,SOC,Cn,0.701,0.002
,,VIS,Cn,0.114,0.663
,,HEA,Cn,0.579,0.015
,,TOU,Cn,0.629,0.007
,,TS,Cn,0.395,0.117
,,BOD,Cn,0.36,0.155
,,BAL,Cn,0.416,0.096
,,PLA,Cn,0.363,0.152
,,TOT,Cn,0.486,0.048
,,SOC,SE,0.52,0.032
,,VIS,SE,0.267,0.301
,,HEA,SE,0.849,0
,,TOU,SE,0.87,0
,,TS,SE,0.563,0.019
,,BOD,SE,0.398,0.113
,,BAL,SE,0.873,0
,,PLA,SE,0.638,0.006
,,TOT,SE,0.74,0.001
,,SOC,At,0.659,0.004
,,VIS,At,0.53,0.029
,,HEA,At,0.868,0
,,TOU,At,0.797,0
,,TS,At,0.427,0.087
,,BOD,At,0.671,0.003
,,BAL,At,0.737,0.001
,,PLA,At,0.833,0
,,TOT,At,0.821,0
,,SOC,SkS,0.579,0.015
,,VIS,SkS,0.274,0.288
,,HEA,SkS,0.572,0.017
,,TOU,SkS,0.578,0.015
,,TS,SkS,0.319,0.212
,,BOD,SkS,0.589,0.013
,,BAL,SkS,0.42,0.093
,,PLA,SkS,0.617,0.008
,,TOT,SkS,0.556,0.02
,,SOC,AA,0.635,0.006
,,VIS,AA,0.395,0.117
,,HEA,AA,0.862,0
,,TOU,AA,0.889,0
,,TS,AA,0.704,0.002
,,BOD,AA,0.397,0.115
,,BAL,AA,0.785,0
,,PLA,AA,0.591,0.013
,,TOT,AA,0.796,0
,,SOC,SnS,0.649,0.005
,,VIS,SnS,0.421,0.092
,,HEA,SnS,0.543,0.024
,,TOU,SnS,0.6,0.011
,,TS,SnS,0.74,0.001
,,BOD,SnS,0.29,0.259
,,BAL,SnS,0.403,0.109
,,PLA,SnS,0.333,0.191
,,TOT,SnS,0.608,0.01
,,SOC,RB,0.614,0.009
,,VIS,RB,0.344,0.176
,,HEA,RB,0.813,0
,,TOU,RB,0.756,0
,,TS,RB,0.337,0.186
,,BOD,RB,0.47,0.057
,,BAL,RB,0.621,0.008
,,PLA,RB,0.676,0.003
,,TOT,RB,0.672,0.003
Preschool-25-Home-Clin,85,SOC,Ad,0.568,0
,,VIS,Ad,0.358,0.001
,,HEA,Ad,0.582,0
,,TOU,Ad,0.437,0
,,TS,Ad,0.457,0
,,BOD,Ad,0.396,0
,,BAL,Ad,0.395,0
,,PLA,Ad,0.395,0
,,TOT,Ad,0.593,0
,,SOC,Vs,0.022,0.845
,,VIS,Vs,0.355,0.001
,,HEA,Vs,0.07,0.526
,,TOU,Vs,0.158,0.149
,,TS,Vs,0.254,0.019
,,BOD,Vs,0.114,0.297
,,BAL,Vs,0.221,0.042
,,PLA,Vs,0.092,0.402
,,TOT,Vs,0.255,0.019
,,SOC,Tc,0.545,0
,,VIS,Tc,0.378,0
,,HEA,Tc,0.315,0.003
,,TOU,Tc,0.54,0
,,TS,Tc,0.435,0
,,BOD,Tc,0.499,0
,,BAL,Tc,0.334,0.002
,,PLA,Tc,0.406,0
,,TOT,Tc,0.566,0
,,SOC,Mv,0.611,0
,,VIS,Mv,0.464,0
,,HEA,Mv,0.35,0.001
,,TOU,Mv,0.576,0
,,TS,Mv,0.281,0.009
,,BOD,Mv,0.577,0
,,BAL,Mv,0.433,0
,,PLA,Mv,0.456,0
,,TOT,Mv,0.617,0
,,SOC,BP,0.228,0.036
,,VIS,BP,0.391,0
,,HEA,BP,0.295,0.006
,,TOU,BP,0.212,0.051
,,TS,BP,0.142,0.196
,,BOD,BP,0.131,0.231
,,BAL,BP,0.524,0
,,PLA,BP,0.377,0
,,TOT,BP,0.377,0
,,SOC,Or,0.173,0.113
,,VIS,Or,0.279,0.01
,,HEA,Or,0.336,0.002
,,TOU,Or,0.342,0.001
,,TS,Or,0.557,0
,,BOD,Or,0.101,0.36
,,BAL,Or,0.167,0.127
,,PLA,Or,0.168,0.123
,,TOT,Or,0.379,0
,,SOC,Cn,0.741,0
,,VIS,Cn,0.413,0
,,HEA,Cn,0.409,0
,,TOU,Cn,0.59,0
,,TS,Cn,0.177,0.105
,,BOD,Cn,0.663,0
,,BAL,Cn,0.343,0.001
,,PLA,Cn,0.522,0
,,TOT,Cn,0.609,0
,,SOC,SE,0.593,0
,,VIS,SE,0.419,0
,,HEA,SE,0.43,0
,,TOU,SE,0.425,0
,,TS,SE,0.194,0.075
,,BOD,SE,0.435,0
,,BAL,SE,0.433,0
,,PLA,SE,0.453,0
,,TOT,SE,0.538,0
,,SOC,At,0.566,0
,,VIS,At,0.617,0
,,HEA,At,0.45,0
,,TOU,At,0.472,0
,,TS,At,0.067,0.54
,,BOD,At,0.537,0
,,BAL,At,0.534,0
,,PLA,At,0.681,0
