form,n,SPM2_row_label,ABAS3_col_label,r,p
IT-430-Home-Stand,29,TOT,Cm,0.042,0.828
,,SOC,Cm,-0.213,0.267
,,VIS,Cm,0.178,0.357
,,HEA,Cm,0.002,0.99
,,TOU,Cm,-0.068,0.726
,,TS,Cm,0.207,0.282
,,BOD,Cm,-0.178,0.355
,,BAL,Cm,0.105,0.587
,,PLA,Cm,-0.089,0.648
,,TOT,Hl,0.082,0.674
,,SOC,Hl,-0.104,0.592
,,VIS,Hl,0.394,0.034
,,HEA,Hl,0.006,0.975
,,TOU,Hl,-0.026,0.894
,,TS,Hl,0.166,0.391
,,BOD,Hl,-0.038,0.846
,,BAL,Hl,0.018,0.925
,,PLA,Hl,-0.014,0.941
,,TOT,Ls,-0.156,0.418
,,SOC,Ls,-0.334,0.077
,,VIS,Ls,0.307,0.105
,,HEA,Ls,-0.227,0.236
,,TOU,Ls,-0.308,0.104
,,TS,Ls,0.108,0.577
,,BOD,Ls,-0.339,0.072
,,BAL,Ls,-0.093,0.632
,,PLA,Ls,-0.172,0.372
,,TOT,SC,0.085,0.661
,,SOC,SC,0.126,0.516
,,VIS,SC,0.153,0.428
,,HEA,SC,0.106,0.583
,,TOU,SC,-0.052,0.789
,,TS,SC,0.393,0.035
,,BOD,SC,0.007,0.97
,,BAL,SC,-0.089,0.647
,,PLA,SC,0.126,0.513
,,TOT,SD,-0.124,0.522
,,SOC,SD,-0.215,0.263
,,VIS,SD,0.324,0.087
,,HEA,SD,-0.183,0.341
,,TOU,SD,-0.187,0.332
,,TS,SD,0.064,0.741
,,BOD,SD,-0.171,0.375
,,BAL,SD,-0.266,0.164
,,PLA,SD,-0.15,0.439
,,TOT,Scl,0.094,0.629
,,SOC,Scl,-0.164,0.394
,,VIS,Scl,0.317,0.094
,,HEA,Scl,0.035,0.858
,,TOU,Scl,-0.172,0.372
,,TS,Scl,0.378,0.043
,,BOD,Scl,0.003,0.986
,,BAL,Scl,0.03,0.879
,,PLA,Scl,0.074,0.704
,,TOT,Mt,0.002,0.993
,,SOC,Mt,-0.195,0.312
,,VIS,Mt,0.025,0.897
,,HEA,Mt,-0.091,0.638
,,TOU,Mt,0.085,0.663
,,TS,Mt,0.314,0.098
,,BOD,Mt,-0.13,0.502
,,BAL,Mt,0.03,0.876
,,PLA,Mt,-0.221,0.25
,,TOT,GAC,-0.118,0.541
,,SOC,GAC,-0.338,0.073
,,VIS,GAC,0.323,0.087
