form_dx,scale,n_typ,mean_typ,sd_typ,scale1,n_clin,mean_clin,sd_clin,ES
Home-SPD,SOC,40,47.67,9.81,SOC,39,57.23,9.15,0.66
,VIS,40,47.85,8.17,VIS,39,60.41,9.91,0.96
,HEA,40,50.12,8.17,HEA,39,60.36,10.32,0.77
,TOU,40,48.4,8.52,TOU,39,60.87,10.04,0.92
,TS,40,50.33,8.65,TS,39,58.31,10.68,0.57
,BOD,40,49.8,7.92,BOD,39,61,8.05,0.94
,BAL,40,49.1,7.4,BAL,39,63.74,8.72,1.25
,PLA,40,48.27,5.73,PLA,39,62.05,9.98,1.28
,TOT,40,49.4,7.16,TOT,39,63.05,8.39,1.2
School-SPD,SOC,34,50.32,10.14,SOC,34,58.68,8.25,0.59
,VIS,34,49.15,7.64,VIS,34,56.29,10.16,0.56
,HEA,34,50.38,9.1,HEA,34,59.74,10.11,0.66
,TOU,34,50.35,9.73,TOU,34,59.47,9.52,0.63
,TS,34,49.03,6.16,TS,34,55.18,11.5,0.52
,BOD,34,50.03,8.41,BOD,34,58.32,9.96,0.62
,BAL,34,49.76,8.89,BAL,34,58.85,9.83,0.66
,PLA,34,50.85,9.55,PLA,34,58.62,9.47,0.54
,TOT,34,49.76,8.59,TOT,34,59.79,9.57,0.75
