form_dx,scale,n_typ,mean_typ,sd_typ,n_clin,mean_clin,sd_clin,ES
Home-ASD,SOC,92,50.16,10.52,91,64.64,6.27,1.06
,VIS,92,49.04,9.63,91,62.52,8.42,0.97
,HEA,92,48.93,9.3,91,63.24,6.52,1.14
,TOU,92,50.39,9.07,91,62.71,7.33,0.97
,TS,92,49.43,9.15,91,59.48,8.77,0.74
,BOD,92,49.68,8.99,91,63.43,7.54,1.08
,BAL,92,48.89,8.56,91,63.23,9.44,1.08
,PLA,92,49.53,9.98,91,66.88,5.8,1.35
,TOT,92,49.14,9.64,91,64.85,6.61,1.21
School-ASD,SOC,68,50.37,9.59,68,64.93,9.01,1.03
,VIS,68,50.63,8.25,68,64.85,8.06,1.16
,HEA,68,51.04,9.09,68,66.74,7.96,1.2
,TOU,68,50.22,9.07,68,65,9.64,1.06
,TS,68,50.1,8.81,68,63.66,10.01,0.98
,BOD,68,50.12,7.9,68,61.57,9.37,0.91
,BAL,68,51.5,8.77,68,63.12,10.31,0.83
,PLA,68,49.91,9.13,68,67.16,9.29,1.25
,TOT,68,50.51,8.62,68,66.43,7.73,1.27
Self-ASD,SOC,35,49.94,8.32,35,58.54,8.92,0.67
,VIS,35,50,6.52,35,58.29,9.15,0.75
,HEA,35,49.54,7.87,35,57.89,9.23,0.67
,TOU,35,48.2,7.19,35,57.43,7.54,0.84
,TS,35,47.11,7.7,35,52.63,6.94,0.49
,BOD,35,49.29,7.22,35,55.77,9.21,0.55
,BAL,35,48.17,7.52,35,58.43,9.26,0.84
,PLA,35,49.4,8.49,35,60.09,8.31,0.85
,TOT,35,48.11,7.04,35,58.03,8.05,0.9
