form,scale,n_typ,mean_typ,sd_typ,scale1,n_clin,mean_clin,sd_clin,ES
Home,SOC,107,50.61,9.7,SOC,107,55.36,11.3,0.31
,VIS,107,49.5,8.95,VIS,107,53.94,10.3,0.32
,HEA,107,49.88,9.16,HEA,107,55.79,9.66,0.42
,TOU,107,50.48,9.5,TOU,107,55.91,9.76,0.38
,TS,107,51.44,9.87,TS,107,52.18,10.52,0.05
,BOD,107,51.49,9.51,BOD,107,54.54,11.69,0.2
,BAL,107,50.1,10.27,BAL,107,56.92,11.2,0.43
,PLA,107,49.32,9.49,PLA,107,59.04,10.63,0.66
,TOT,107,50.62,9.2,TOT,107,56.29,9.68,0.4
School,SOC,99,49.91,9.72,SOC,99,55.63,11.09,0.37
,VIS,99,49.35,10.16,VIS,99,56.53,10.7,0.46
,HEA,99,49.34,9.5,HEA,99,57.41,9.74,0.56
,TOU,99,50.57,9.28,TOU,99,55.68,9.42,0.37
,TS,99,50.25,9.77,TS,99,53.37,10.84,0.21
,BOD,99,51.16,9.06,BOD,99,55.79,10.07,0.33
,BAL,99,50.12,9.92,BAL,99,55.93,10.8,0.38
,PLA,99,50.28,9.24,PLA,99,58.61,11.03,0.56
,TOT,99,50.01,9.91,TOT,99,57.35,9.91,0.49
