form,scale,n_typ,mean_typ,sd_typ,scale1,n_clin,mean_clin,sd_clin,ES
Home,SOC,105,48.64,9.98,SOC,105,56.72,9.71,0.54
,VIS,105,48.29,7.65,VIS,105,59.01,8.12,0.92
,HEA,105,49.09,8.54,HEA,105,58.87,8.88,0.75
,TOU,105,49.11,7.92,TOU,105,57.78,9.3,0.69
,TS,105,49.17,7.91,TS,105,53.93,9.79,0.37
,BOD,105,49.3,8.19,BOD,105,57.19,10.35,0.59
,BAL,105,49.17,7.74,BAL,105,55.37,9.96,0.49
,PLA,105,49.31,8.98,PLA,105,62.16,8.77,0.96
,TOT,105,48.49,8.67,TOT,105,58.93,7.98,0.83
School,SOC,102,47.4,10.23,SOC,102,58.16,11.56,0.67
,VIS,102,50.25,7.78,VIS,102,56.42,8.66,0.51
,HEA,102,49.61,7.62,HEA,102,57.92,8.16,0.71
,TOU,102,49.85,6.96,TOU,102,57.75,8.79,0.69
,TS,102,50.02,7.33,TS,102,57.11,8.5,0.61
,BOD,102,50.24,7.28,BOD,102,57.39,8.57,0.62
,BAL,102,49.72,6.54,BAL,102,56.7,8.71,0.64
,PLA,102,50.02,8.81,PLA,102,60.08,9.1,0.75
,TOT,102,49.34,8.75,TOT,102,58.76,7.96,0.74
Self,SOC,105,46.92,9.32,SOC,105,54.92,10.24,0.55
,VIS,105,47.57,8.46,VIS,105,56.83,10.34,0.68
,HEA,105,46.94,8.29,HEA,105,56.58,9.09,0.75
,TOU,105,47.65,7.89,TOU,105,55.02,10.34,0.56
,TS,105,47.34,8.99,TS,105,53.19,10.68,0.41
,BOD,105,48.45,8.36,BOD,105,53.98,11.19,0.4
,BAL,105,47.02,6.8,BAL,105,55.2,10.88,0.67
,PLA,105,47.99,8.53,PLA,105,57.71,9.89,0.72
,TOT,105,46.73,8.22,TOT,105,56.37,9.9,0.73
