raw,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,TOT_NT,PLA_NT,SOC_NT
10,40,42,43,45,42,42,,41,40
11,44,46,48,50,47,47,,45,40
12,47,50,53,56,51,51,,48,43
13,51,54,58,61,54,56,,51,45
14,54,58,62,65,58,60,,54,48
15,57,61,66,69,61,63,,56,50
16,60,64,70,73,64,67,,58,52
17,63,67,73,77,67,70,,61,54
18,66,69,77,80,69,73,,63,55
19,68,72,77,80,72,76,,65,57
20,70,74,77,80,74,76,,67,59
21,72,77,80,80,76,80,,69,60
22,75,79,80,80,78,80,,70,62
23,77,80,80,80,80,80,,72,63
24,78,80,80,80,80,80,,74,64
25,78,80,80,80,80,80,,75,66
26,80,80,80,80,80,80,,77,67
27,80,80,80,80,80,80,,77,68
28,80,80,80,80,80,80,,79,69
29,80,80,80,80,80,80,,80,70
30,80,80,80,80,80,80,,80,71
31,80,80,80,80,80,80,,80,72
32,80,80,80,80,80,80,,80,73
33,80,80,80,80,80,80,,80,74
34,80,80,80,80,80,80,,80,74
35,80,80,80,80,80,80,,80,74
36,80,80,80,80,80,80,,80,77
37,80,80,80,80,80,80,,80,77
38,80,80,80,80,80,80,,80,77
39,80,80,80,80,80,80,,80,77
40,80,80,80,80,80,80,,80,77
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,40,,
61,,,,,,,41,,
62,,,,,,,42,,
63,,,,,,,43,,
64,,,,,,,44,,
65,,,,,,,45,,
66,,,,,,,46,,
67,,,,,,,47,,
68,,,,,,,48,,
69,,,,,,,49,,
70,,,,,,,49,,
71,,,,,,,50,,
72,,,,,,,51,,
73,,,,,,,52,,
74,,,,,,,53,,
75,,,,,,,53,,
76,,,,,,,54,,
77,,,,,,,55,,
78,,,,,,,56,,
79,,,,,,,56,,
80,,,,,,,57,,
81,,,,,,,58,,
82,,,,,,,59,,
83,,,,,,,59,,
84,,,,,,,60,,
85,,,,,,,61,,
86,,,,,,,61,,
87,,,,,,,62,,
88,,,,,,,63,,
89,,,,,,,63,,
90,,,,,,,64,,
91,,,,,,,65,,
92,,,,,,,65,,
93,,,,,,,66,,
94,,,,,,,66,,
95,,,,,,,67,,
96,,,,,,,67,,
97,,,,,,,68,,
98,,,,,,,69,,
99,,,,,,,69,,
100,,,,,,,70,,
101,,,,,,,71,,
102,,,,,,,71,,
103,,,,,,,72,,
104,,,,,,,72,,
105,,,,,,,73,,
106,,,,,,,73,,
107,,,,,,,73,,
108,,,,,,,73,,
109,,,,,,,73,,
110,,,,,,,73,,
111,,,,,,,76,,
112,,,,,,,77,,
113,,,,,,,77,,
114,,,,,,,77,,
115,,,,,,,78,,
116,,,,,,,78,,
117,,,,,,,78,,
118,,,,,,,78,,
119,,,,,,,78,,
120,,,,,,,80,,
121,,,,,,,80,,
122,,,,,,,80,,
123,,,,,,,80,,
124,,,,,,,80,,
125,,,,,,,80,,
126,,,,,,,80,,
127,,,,,,,80,,
128,,,,,,,80,,
129,,,,,,,80,,
130,,,,,,,80,,
131,,,,,,,80,,
132,,,,,,,80,,
133,,,,,,,80,,
134,,,,,,,80,,
135,,,,,,,80,,
136,,,,,,,80,,
137,,,,,,,80,,
138,,,,,,,80,,
139,,,,,,,80,,
140,,,,,,,80,,
141,,,,,,,80,,
142,,,,,,,80,,
143,,,,,,,80,,
144,,,,,,,80,,
145,,,,,,,80,,
146,,,,,,,80,,
147,,,,,,,80,,
148,,,,,,,80,,
149,,,,,,,80,,
150,,,,,,,80,,
151,,,,,,,80,,
152,,,,,,,80,,
153,,,,,,,80,,
154,,,,,,,80,,
155,,,,,,,80,,
156,,,,,,,80,,
157,,,,,,,80,,
158,,,,,,,80,,
159,,,,,,,80,,
160,,,,,,,80,,
161,,,,,,,80,,
162,,,,,,,80,,
163,,,,,,,80,,
164,,,,,,,80,,
165,,,,,,,80,,
166,,,,,,,80,,
167,,,,,,,80,,
168,,,,,,,80,,
169,,,,,,,80,,
170,,,,,,,80,,
171,,,,,,,80,,
172,,,,,,,80,,
173,,,,,,,80,,
174,,,,,,,80,,
175,,,,,,,80,,
176,,,,,,,80,,
177,,,,,,,80,,
178,,,,,,,80,,
179,,,,,,,80,,
180,,,,,,,80,,
181,,,,,,,80,,
182,,,,,,,80,,
183,,,,,,,80,,
184,,,,,,,80,,
185,,,,,,,80,,
186,,,,,,,80,,
187,,,,,,,80,,
188,,,,,,,80,,
189,,,,,,,80,,
190,,,,,,,80,,
191,,,,,,,80,,
192,,,,,,,80,,
193,,,,,,,80,,
194,,,,,,,80,,
195,,,,,,,80,,
196,,,,,,,80,,
197,,,,,,,80,,
198,,,,,,,80,,
199,,,,,,,80,,
200,,,,,,,80,,
201,,,,,,,80,,
202,,,,,,,80,,
203,,,,,,,80,,
204,,,,,,,80,,
205,,,,,,,80,,
206,,,,,,,80,,
207,,,,,,,80,,
208,,,,,,,80,,
209,,,,,,,80,,
210,,,,,,,80,,
211,,,,,,,80,,
212,,,,,,,80,,
213,,,,,,,80,,
214,,,,,,,80,,
215,,,,,,,80,,
216,,,,,,,80,,
217,,,,,,,80,,
218,,,,,,,80,,
219,,,,,,,80,,
220,,,,,,,80,,
221,,,,,,,80,,
222,,,,,,,80,,
223,,,,,,,80,,
224,,,,,,,80,,
225,,,,,,,80,,
226,,,,,,,80,,
227,,,,,,,80,,
228,,,,,,,80,,
229,,,,,,,80,,
230,,,,,,,80,,
231,,,,,,,80,,
232,,,,,,,80,,
233,,,,,,,80,,
234,,,,,,,80,,
235,,,,,,,80,,
236,,,,,,,80,,
237,,,,,,,80,,
238,,,,,,,80,,
239,,,,,,,80,,
240,,,,,,,80,,
