T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,32--40,-,26--40,23--40,27--40,23--40,-,19--40,31--40
79,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,21--22,-,-,-
77,-,-,24--25,-,-,-,-,-,-
76,-,27--40,-,-,24--26,-,-,18,-
75,-,-,23,21--22,-,-,-,-,27--30
74,-,-,-,-,-,-,-,-,-
73,-,-,-,20,-,-,-,17,-
72,24--31,25--26,-,-,22--23,19--20,119--240,-,25--26
71,-,-,-,-,-,-,118,-,-
70,23,-,-,19,21,-,115--117,-,-
69,-,23--24,-,-,-,18,113--114,16,-
68,22,-,20--22,-,-,-,-,-,23--24
67,-,22,-,18,20,-,110--112,-,-
66,21,-,-,-,-,17,108--109,15,22
65,-,21,19,17,19,-,106--107,-,21
64,20,-,-,-,-,-,104--105,-,-
63,-,20,18,-,-,16,103,-,20
62,19,-,-,-,18,-,101--102,14,-
61,-,19,-,16,-,-,99--100,-,-
60,-,-,17,-,17,15,98,-,19
59,18,-,-,-,-,-,96--97,-,-
58,-,18,-,15,-,-,95,-,18
57,17,-,16,-,16,-,93--94,13,-
56,-,17,-,-,-,14,92,-,17
55,-,-,-,14,-,-,90--91,-,-
54,16,-,15,-,15,-,89,-,-
53,-,16,-,-,-,-,87--88,-,16
52,-,-,-,-,-,13,86,12,-
51,15,15,14,13,-,-,84--85,-,15
50,-,-,-,-,14,-,83,-,-
49,-,-,-,-,-,-,82,-,-
48,14,14,-,-,-,12,80--81,-,14
47,-,-,13,12,13,-,79,11,-
46,-,-,-,-,-,-,78,-,-
45,-,13,-,-,-,-,77,-,13
44,13,-,12,-,-,-,75--76,-,-
43,-,-,-,-,12,11,74,-,-
42,-,-,-,11,-,-,73,10,12
41,12,12,-,-,-,-,72,-,-
40,10--11,10--11,10--11,10,10--11,10,60--71,-,10--11
