T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
80,153--240,-,36--40,32--40,26--40,31--40,23--40,28--40,32--40
79,-,-,-,-,-,-,-,-,-
78,146--152,-,30--35,-,25,30,22,-,-
77,144--145,30--40,29,-,-,29,-,26--27,29--31
76,142--143,-,-,29--31,24,28,21,-,28
75,139--141,29,28,28,-,-,-,25,-
74,137--138,-,27,-,23,27,-,-,27
73,135--136,28,-,27,-,26,20,24,26
72,131--134,27,26,26,22,-,-,-,-
71,128--130,-,25,-,-,25,19,23,25
70,126--127,26,-,25,21,-,-,-,24
69,123--125,-,24,-,-,24,-,22,-
68,121--122,25,-,24,-,-,18,-,23
67,119--120,24,23,23,20,23,-,21,-
66,117--118,-,-,-,-,22,17,-,22
65,115--116,23,22,22,19,-,-,20,-
64,112--114,-,-,-,-,21,-,-,21
63,110--111,22,21,21,18,-,16,19,20
62,108--109,-,-,-,-,20,-,-,-
61,106--107,21,20,20,-,-,-,-,19
60,104--105,-,-,-,17,-,15,18,-
59,102--103,-,19,19,-,19,-,-,-
58,101,20,-,-,-,-,-,17,18
57,99--100,-,18,18,16,18,-,-,-
56,97--98,19,-,-,-,-,14,-,17
55,95--96,-,17,-,-,17,-,16,-
54,93--94,18,-,17,15,-,-,-,16
53,92,-,-,-,-,-,13,-,-
52,90--91,-,16,16,-,16,-,15,-
51,88--89,17,-,-,14,-,-,-,15
50,87,-,-,-,-,15,-,-,-
49,85--86,-,15,15,-,-,12,14,14
48,83--84,16,-,-,-,-,-,-,-
47,82,-,14,-,13,14,-,-,-
46,80--81,15,-,14,-,-,-,13,13
45,79,-,-,-,-,-,11,-,-
44,77--78,-,13,-,12,13,-,-,-
43,76,-,-,13,-,-,-,-,12
42,75,14,-,-,-,-,-,12,-
41,73--74,-,-,-,-,-,-,-,-
40,60--72,10--13,10--12,10--12,10--11,10--12,10,10--11,10--11
