T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
80,-,-,-,-,-,-,-,30--40,-
79,-,38--40,-,-,-,-,-,-,-
78,-,-,-,-,-,-,-,-,-
77,-,37,-,-,-,-,-,-,-
76,-,36,-,-,-,-,39--40,26--29,-
75,-,35,-,-,-,30--40,37--38,25,-
74,165--240,-,33--40,-,-,29,-,-,34--40
73,-,34,31--32,37--40,30--40,27--28,-,23--24,32--33
72,157--164,33,30,34--36,29,-,-,22,-
71,149--156,-,29,33,28,25--26,30--36,21,29--31
70,143--148,32,28,30--32,26--27,24,29,-,28
69,138--142,31,27,29,25,23,28,20,27
68,134--137,30,26,28,24,22,27,19,26
67,130--133,-,25,26--27,23,21,26,-,25
66,126--129,29,24,25,22,-,25,18,24
65,122--125,-,-,24,21,20,24,-,23
64,119--121,28,23,23,-,19,23,17,22
63,115--118,27,22,22,20,-,-,-,21
62,112--114,-,-,21,19,18,22,16,-
61,109--111,26,21,-,-,-,21,-,20
60,106--108,25,20,20,18,17,20,-,19
59,104--105,-,-,19,-,-,-,15,-
58,101--103,24,19,-,17,16,19,-,18
57,99--100,-,-,18,-,-,-,-,-
56,97--98,23,18,17,16,15,18,14,17
55,94--96,22,-,-,-,-,-,-,-
54,92--93,-,17,16,15,-,17,-,16
53,90--91,21,-,-,-,14,-,13,-
52,88--89,-,16,-,-,-,16,-,15
51,86--87,20,-,15,14,-,-,-,-
50,85,-,15,-,-,13,15,-,-
49,83--84,19,-,14,-,-,-,12,14
48,81--82,-,-,-,13,-,-,-,-
47,80,18,14,-,-,-,14,-,-
46,78--79,-,-,13,-,12,-,-,13
45,77,17,-,-,-,-,13,-,-
44,75--76,-,13,-,12,-,-,11,-
43,74,16,-,12,-,-,-,-,12
42,73,-,-,-,-,-,-,-,-
41,71--72,15,12,-,-,11,12,-,-
40,60--70,10--14,10--11,10--11,10--11,10,10--11,10,10--11
