T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,33--40,32--40,31--40,34--40,35--40,34--40,199--240,-,36--40
79,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,-,35--40,-
77,32,-,30,-,-,26--33,162--198,-,-
76,-,30--31,-,30--33,30--34,-,-,-,34--35
75,31,-,29,-,-,-,155--161,32--34,-
74,-,28--29,27--28,27--29,29,25,150--154,-,33
73,-,-,-,25--26,-,-,-,30--31,-
72,26--30,27,26,24,27--28,24,143--149,28--29,32
71,25,-,25,-,26,-,138--142,27,-
70,-,26,-,22--23,25,23,134--137,-,-
69,24,-,24,21,24,22,132--133,26,31
68,23,25,22--23,19--20,23,20--21,127--131,-,-
67,22,24,21,18,22,-,124--126,25,-
66,-,23,-,17,21,19,116--123,-,30
65,21,22,20,-,-,18,110--115,24,-
64,-,21,19,16,20,-,105--109,23,29
63,20,20,18,15,19,17,103--104,22,28
62,19,19,-,-,18,16,97--102,21,27
61,18,18,17,14,-,-,95--96,20,26
60,-,17,16,-,17,15,93--94,-,25
59,17,-,-,-,16,-,91--92,19,-
58,-,16,15,13,15,14,88--90,-,24
57,16,-,-,-,-,-,85--87,18,23
56,-,-,14,-,14,13,83--84,17,-
55,15,15,-,12,-,-,81--82,-,22
54,-,-,13,-,13,-,79--80,16,-
53,14,14,-,-,-,12,76--78,-,21
52,-,-,-,-,-,-,75,15,20
51,13,13,12,-,12,-,74,-,-
50,-,-,-,11,-,-,72--73,14,19
49,-,-,-,-,-,11,71,-,18
48,-,12,-,-,11,-,70,13,-
47,12,-,11,-,-,-,68--69,-,17
46,-,-,-,-,-,-,67,12,16
45,-,-,-,-,-,-,66,-,15
44,-,11,-,-,-,-,-,-,-
43,11,-,-,-,-,-,65,11,14
42,-,-,-,-,-,-,64,-,-
41,-,-,-,10,-,10,-,-,13
40,10,10,10,-,10,-,60--63,10,10--12
