T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,33--40,34--40,34--40,35--40,34--40,36--40,188--240,40,37--40
79,-,-,33,-,-,-,-,38--39,33--36
78,-,32--33,-,34,33,-,186--187,-,-
77,-,-,32,33,32,31--35,-,37,-
76,31--32,31,-,-,-,-,184--185,36,32
75,-,30,31,32,31,-,171--183,34--35,-
74,29--30,29,30,30--31,29--30,28--30,160--170,33,31
73,28,28,29,-,-,-,156--159,-,-
72,27,27,28,29,28,27,153--155,32,30
71,26,-,26--27,-,27,26,150--152,31,-
70,25,26,25,28,26,25,143--149,30,29
69,24,25,24,26--27,25,24,139--142,29,28
68,23,24,23,25,24,23,134--138,28,-
67,22,23,22,24,23,21--22,127--133,27,27
66,21,22,21,-,22,20,120--126,25--26,26
65,20,21,20,23,20--21,18--19,113--119,24,-
64,-,20,19,22,19,17,109--112,23,25
63,19,19,18,21,18,16,105--108,22,-
62,18,18,17,20,-,-,99--104,21,24
61,-,17,-,19,17,15,95--98,20,23
60,17,16,16,-,16,14,92--94,19,-
59,16,-,15,18,15,-,88--91,18,22
58,-,15,-,-,-,13,86--87,17,21
57,15,-,14,17,14,-,84--85,-,-
56,-,14,-,-,-,12,82--83,16,20
55,14,-,13,16,13,-,80--81,15,-
54,-,13,-,-,-,-,78--79,-,19
53,13,-,-,15,-,-,77,14,-
52,-,-,12,-,12,11,75--76,-,18
51,-,12,-,14,-,-,74,13,-
50,12,-,-,-,-,-,72--73,-,17
49,-,-,-,-,-,-,71,-,-
48,-,-,11,13,11,-,70,12,16
47,11,11,-,-,-,-,68--69,-,-
46,-,-,-,12,-,-,-,-,15
45,-,-,-,-,-,-,67,11,-
44,-,-,-,-,-,-,66,-,14
43,-,-,-,11,-,10,65,-,-
42,-,-,-,-,-,-,-,-,13
41,-,-,-,-,-,-,64,-,-
40,10,10,10,10,10,-,60--63,10,10--12
