T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,34--40,35--40,32--40,34--40,34--40,33--40,196--240,37--40,35--40
79,-,-,-,-,-,-,-,-,-
78,33,34,-,33,-,32,190--195,-,-
77,32,33,31,-,31--33,-,185--189,32--36,34
76,-,-,-,-,-,-,-,-,-
75,31,31--32,30,30--32,-,31,177--184,-,32--33
74,30,-,29,-,30,30,176,30--31,31
73,-,30,-,29,29,29,167--175,-,-
72,28--29,28--29,26--28,-,27--28,28,162--166,29,-
71,26--27,26--27,23--25,26--28,25--26,27,151--161,-,30
70,24--25,25,21--22,24--25,24,26,137--150,28,-
69,23,24,20,23,22--23,21--25,123--136,27,29
68,21--22,23,18--19,20--22,20--21,20,112--122,26,-
67,19--20,21--22,17,19,19,18--19,102--111,25,28
66,17--18,20,16,18,17--18,17,93--101,24,-
65,-,18--19,15,17,16,16,89--92,23,27
64,16,17,14,16,15,15,86--88,22,26
63,15,16,13,15,14,14,83--85,-,-
62,-,15,-,14,-,-,81--82,21,25
61,14,-,-,13,13,13,78--80,20,24
60,13,14,12,-,-,-,75--77,19,-
59,-,-,-,-,12,12,72--74,18,23
58,12,13,-,12,-,-,70--71,-,22
57,-,-,11,-,-,-,69,17,-
56,-,12,-,-,11,11,67--68,16,21
55,11,-,-,11,-,-,66,15,20
54,-,-,-,-,-,-,65,14,-
53,-,11,-,-,-,-,64,-,19
52,-,-,-,-,-,-,-,13,-
51,-,-,-,-,-,-,63,-,18
50,-,-,-,-,-,-,62,12,17
49,-,-,-,-,-,-,-,-,16
48,-,-,-,-,-,-,61,11,15
47,-,-,-,-,-,-,-,-,-
46,-,-,10,-,10,10,-,-,14
45,10,-,-,10,-,-,-,-,-
44,-,10,-,-,-,-,-,-,13
43,-,-,-,-,-,-,-,-,-
42,-,-,-,-,-,-,-,-,12
41,-,-,-,-,-,-,60,10,-
40,-,-,-,-,-,-,-,-,10--11
