T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
80,183--240,30--40,33--40,34--40,32--40,38--40,33--40,32--40,35--40
79,-,-,-,-,-,-,32,-,-
78,182,-,32,-,31,37,-,-,34
77,179--181,29,-,33,-,-,-,29--31,-
76,174--178,-,31,-,30,35--36,30--31,-,33
75,172--173,-,30,32,-,33--34,-,-,-
74,166--171,28,-,-,29,-,-,28,32
73,159--165,-,-,31,28,31--32,29,-,31
72,157--158,27,29,30,27,-,-,27,30
71,155--156,-,-,-,-,30,28,26,29
70,152--154,-,28,29,26,29,27,-,28
69,144--151,26,-,28,25,28,26,25,-
68,140--143,-,27,-,24,27,25,24,27
67,139,-,-,27,-,-,-,23,26
66,136--138,25,26,-,-,26,24,-,-
65,133--135,-,25,26,23,-,23,22,25
64,131--132,24,-,25,22,25,-,21,24
63,129--130,-,24,24,-,24,22,20,23
62,125--128,23,-,-,21,-,21,-,22
61,122--124,-,23,23,20,23,-,19,-
60,118--121,22,22,22,-,-,20,-,21
59,115--117,-,-,-,19,22,-,18,-
58,113--114,21,21,21,-,21,19,17,20
57,110--112,-,20,-,18,-,18,-,-
56,108--109,20,-,20,17,20,17,16,19
55,105--107,-,19,19,-,-,-,15,18
54,102--104,19,18,-,-,19,16,-,-
53,99--101,-,-,18,16,18,-,14,17
52,97--98,18,17,17,-,-,15,-,-
51,94--96,-,-,-,15,17,-,-,16
50,91--93,17,16,16,-,-,14,13,-
49,89--90,-,-,-,-,16,-,-,15
48,86--88,-,15,15,14,-,13,12,-
47,84--85,16,14,-,-,15,-,-,14
46,82--83,-,-,14,-,-,-,-,-
45,80--81,15,-,-,13,14,12,11,13
44,78--79,-,13,13,-,-,-,-,-
43,75--77,-,-,-,12,13,-,-,12
42,73--74,14,12,12,-,-,11,-,-
41,71--72,-,-,-,-,-,-,-,-
40,60--70,10--13,10--11,10--11,10--11,10--12,10,10,10--11
