form,environ,age_group,scale,raw,t_score,percentile,min_age,max_age,interp_range
Infant,Home,4-6 months,VIS,40,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,39,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,38,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,37,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,36,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,35,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,34,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,33,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,32,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,31,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,30,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,29,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,28,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,VIS,27,67,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,VIS,26,64,92,4,6,Moderate Difficulties
Infant,Home,4-6 months,VIS,25,60,84,4,6,Moderate Difficulties
Infant,Home,4-6 months,VIS,24,57,76,4,6,Typical
Infant,Home,4-6 months,VIS,23,55,69,4,6,Typical
Infant,Home,4-6 months,VIS,22,52,58,4,6,Typical
Infant,Home,4-6 months,VIS,21,50,50,4,6,Typical
Infant,Home,4-6 months,VIS,20,48,42,4,6,Typical
Infant,Home,4-6 months,VIS,19,45,31,4,6,Typical
Infant,Home,4-6 months,VIS,18,43,24,4,6,Typical
Infant,Home,4-6 months,VIS,17,41,18,4,6,Typical
Infant,Home,4-6 months,VIS,16,40,16,4,6,Typical
Infant,Home,4-6 months,VIS,15,40,16,4,6,Typical
Infant,Home,4-6 months,VIS,14,40,16,4,6,Typical
Infant,Home,4-6 months,VIS,13,40,16,4,6,Typical
Infant,Home,4-6 months,VIS,12,40,16,4,6,Typical
Infant,Home,4-6 months,VIS,11,40,16,4,6,Typical
Infant,Home,4-6 months,VIS,10,40,16,4,6,Typical
Infant,Home,4-6 months,HEA,40,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,39,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,38,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,37,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,36,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,35,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,34,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,33,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,32,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,31,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,30,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,29,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,28,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,27,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,26,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,25,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,24,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,HEA,23,69,97,4,6,Moderate Difficulties
Infant,Home,4-6 months,HEA,22,69,97,4,6,Moderate Difficulties
Infant,Home,4-6 months,HEA,21,69,97,4,6,Moderate Difficulties
Infant,Home,4-6 months,HEA,20,66,95,4,6,Moderate Difficulties
Infant,Home,4-6 months,HEA,19,64,92,4,6,Moderate Difficulties
Infant,Home,4-6 months,HEA,18,62,88,4,6,Moderate Difficulties
Infant,Home,4-6 months,HEA,17,60,84,4,6,Moderate Difficulties
Infant,Home,4-6 months,HEA,16,58,79,4,6,Typical
Infant,Home,4-6 months,HEA,15,55,69,4,6,Typical
Infant,Home,4-6 months,HEA,14,50,50,4,6,Typical
Infant,Home,4-6 months,HEA,13,46,34,4,6,Typical
Infant,Home,4-6 months,HEA,12,41,18,4,6,Typical
Infant,Home,4-6 months,HEA,11,40,16,4,6,Typical
Infant,Home,4-6 months,HEA,10,40,16,4,6,Typical
Infant,Home,4-6 months,TOU,40,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,39,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,38,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,37,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,36,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,35,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,34,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,33,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,32,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,31,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,30,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,29,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,28,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,27,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,26,74,99,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,25,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,24,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,23,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,22,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,TOU,21,69,97,4,6,Moderate Difficulties
Infant,Home,4-6 months,TOU,20,67,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,TOU,19,64,92,4,6,Moderate Difficulties
Infant,Home,4-6 months,TOU,18,62,88,4,6,Moderate Difficulties
Infant,Home,4-6 months,TOU,17,59,82,4,6,Typical
Infant,Home,4-6 months,TOU,16,57,76,4,6,Typical
Infant,Home,4-6 months,TOU,15,53,62,4,6,Typical
Infant,Home,4-6 months,TOU,14,49,46,4,6,Typical
Infant,Home,4-6 months,TOU,13,45,31,4,6,Typical
Infant,Home,4-6 months,TOU,12,41,18,4,6,Typical
Infant,Home,4-6 months,TOU,11,40,16,4,6,Typical
Infant,Home,4-6 months,TOU,10,40,16,4,6,Typical
Infant,Home,4-6 months,T&S,40,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,39,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,38,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,37,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,36,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,35,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,34,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,33,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,32,77,99,4,6,Severe Difficulties
