T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,176--240,38--40,31--40,32--40,31--40,26--40,35--40,34--40,35--40
74,144--175,36--37,-,30--31,30,25,30--34,24--33,34
73,138--143,34--35,26--30,-,-,24,28--29,23,-
72,136--137,33,25,28--29,27--29,-,-,22,32--33
71,134--135,-,-,-,26,22--23,27,-,30--31
70,132--133,32,24,27,25,21,25--26,21,27--29
69,128--131,-,23,26,23--24,20,24,20,26
68,124--127,31,-,25,22,18--19,23,-,-
67,121--123,-,22,24,21,-,22,19,25
66,115--120,-,-,23,20,17,21,-,-
65,109--114,30,21,22,-,16,20,18,23--24
64,105--108,29,20,-,19,-,-,17,22
63,101--104,28,-,20--21,18,15,19,-,21
62,97--100,27,19,19,-,-,18,16,-
61,95--96,26,18,18,17,14,17,-,20
60,93--94,-,-,17,-,-,16,15,-
59,90--92,25,17,-,16,-,-,-,19
58,88--89,24,-,16,15,13,15,14,-
57,85--87,-,16,-,-,-,-,-,18
56,83--84,23,15,-,14,-,14,13,17
55,80--82,22,-,15,-,12,-,-,-
54,78--79,-,-,-,-,-,13,-,16
53,76--77,21,14,14,13,-,-,12,-
52,75,-,-,-,-,-,-,-,15
51,74,20,13,13,-,-,12,-,-
50,72--73,19,-,-,12,11,-,-,14
49,71,18,-,-,-,-,-,11,-
48,70,17,-,12,-,-,11,-,13
47,68--69,-,12,-,11,-,-,-,-
46,67,16,-,-,-,-,-,-,12
45,66,15,-,-,-,-,-,-,-
44,-,-,-,11,-,-,-,-,-
43,65,14,11,-,-,-,-,-,-
42,64,-,-,-,-,-,-,-,11
41,-,13,-,-,-,10,-,10,-
40,63,-,-,-,-,-,10,-,-
39,62,12,-,-,10,-,-,-,-
38,-,-,-,-,-,-,-,-,-
37,-,11,10,10,-,-,-,-,-
36,61,-,-,-,-,-,-,-,10
35,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,-,10,-,-,-,-,-,-,-
31,60,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
