raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
10,,29,32,34,35,36,33,38,34
11,,32,37,39,40,41,38,44,39
12,,34,41,43,44,46,41,49,43
13,,37,44,46,48,50,45,53,46
14,,39,47,49,51,53,47,56,49
15,,41,50,51,54,56,50,59,52
16,,43,52,54,56,58,52,62,54
17,,45,54,56,58,60,54,64,56
18,,47,56,57,60,62,56,66,58
19,,49,58,59,62,64,58,68,60
20,,51,60,60,63,65,60,69,61
21,,53,61,62,65,67,61,71,63
22,,55,63,63,66,68,62,72,64
23,,56,64,64,67,69,64,73,65
24,,58,66,65,68,70,65,73,66
25,,60,67,66,69,71,66,75,67
26,,61,68,67,70,71,67,75,68
27,,63,69,67,70,73,68,75,69
28,,64,70,68,71,73,69,75,70
29,,66,71,69,72,74,70,75,71
30,,68,72,70,73,75,71,75,71
31,,69,73,70,73,75,71,75,71
32,,70,73,70,73,75,71,75,73
33,,72,74,71,73,75,71,75,73
34,,73,74,72,73,75,71,75,74
35,,75,74,72,73,75,71,75,74
36,,75,74,72,73,75,71,75,74
37,,75,74,73,73,75,75,75,74
38,,75,74,73,73,75,75,75,74
39,,75,74,73,73,75,75,75,74
40,,75,74,73,73,75,75,75,74
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,30,,,,,,,,
61,31,,,,,,,,
62,32,,,,,,,,
63,33,,,,,,,,
64,34,,,,,,,,
65,35,,,,,,,,
66,36,,,,,,,,
67,37,,,,,,,,
68,38,,,,,,,,
69,39,,,,,,,,
70,40,,,,,,,,
71,41,,,,,,,,
72,41,,,,,,,,
73,42,,,,,,,,
74,43,,,,,,,,
75,44,,,,,,,,
76,44,,,,,,,,
77,45,,,,,,,,
78,46,,,,,,,,
79,46,,,,,,,,
80,47,,,,,,,,
81,48,,,,,,,,
82,48,,,,,,,,
83,49,,,,,,,,
84,49,,,,,,,,
85,50,,,,,,,,
86,51,,,,,,,,
87,51,,,,,,,,
88,52,,,,,,,,
89,52,,,,,,,,
90,53,,,,,,,,
91,53,,,,,,,,
92,54,,,,,,,,
93,54,,,,,,,,
94,55,,,,,,,,
95,55,,,,,,,,
96,55,,,,,,,,
97,56,,,,,,,,
98,56,,,,,,,,
99,57,,,,,,,,
100,57,,,,,,,,
101,58,,,,,,,,
102,58,,,,,,,,
103,58,,,,,,,,
104,59,,,,,,,,
105,59,,,,,,,,
106,60,,,,,,,,
107,60,,,,,,,,
108,60,,,,,,,,
109,61,,,,,,,,
110,61,,,,,,,,
111,61,,,,,,,,
112,62,,,,,,,,
113,62,,,,,,,,
114,62,,,,,,,,
115,63,,,,,,,,
116,63,,,,,,,,
117,63,,,,,,,,
118,63,,,,,,,,
119,64,,,,,,,,
120,64,,,,,,,,
121,64,,,,,,,,
122,65,,,,,,,,
123,65,,,,,,,,
124,65,,,,,,,,
125,65,,,,,,,,
126,66,,,,,,,,
127,66,,,,,,,,
128,66,,,,,,,,
129,66,,,,,,,,
130,67,,,,,,,,
131,67,,,,,,,,
132,67,,,,,,,,
133,67,,,,,,,,
134,68,,,,,,,,
135,68,,,,,,,,
136,68,,,,,,,,
137,68,,,,,,,,
138,69,,,,,,,,
139,69,,,,,,,,
140,69,,,,,,,,
141,69,,,,,,,,
142,69,,,,,,,,
143,70,,,,,,,,
144,70,,,,,,,,
145,70,,,,,,,,
146,70,,,,,,,,
147,70,,,,,,,,
148,70,,,,,,,,
149,71,,,,,,,,
150,71,,,,,,,,
151,71,,,,,,,,
152,71,,,,,,,,
153,71,,,,,,,,
154,71,,,,,,,,
155,71,,,,,,,,
156,71,,,,,,,,
157,72,,,,,,,,
158,72,,,,,,,,
159,72,,,,,,,,
160,72,,,,,,,,
161,72,,,,,,,,
162,72,,,,,,,,
163,72,,,,,,,,
164,72,,,,,,,,
165,74,,,,,,,,
166,74,,,,,,,,
167,74,,,,,,,,
168,74,,,,,,,,
169,74,,,,,,,,
170,74,,,,,,,,
171,74,,,,,,,,
172,74,,,,,,,,
173,74,,,,,,,,
174,74,,,,,,,,
175,74,,,,,,,,
176,74,,,,,,,,
177,74,,,,,,,,
178,74,,,,,,,,
179,74,,,,,,,,
180,74,,,,,,,,
181,74,,,,,,,,
182,74,,,,,,,,
183,74,,,,,,,,
184,74,,,,,,,,
185,74,,,,,,,,
186,74,,,,,,,,
187,74,,,,,,,,
188,74,,,,,,,,
189,74,,,,,,,,
190,74,,,,,,,,
191,74,,,,,,,,
192,74,,,,,,,,
193,74,,,,,,,,
194,74,,,,,,,,
195,74,,,,,,,,
196,74,,,,,,,,
197,74,,,,,,,,
198,74,,,,,,,,
199,74,,,,,,,,
200,74,,,,,,,,
201,74,,,,,,,,
202,74,,,,,,,,
203,74,,,,,,,,
204,74,,,,,,,,
205,74,,,,,,,,
206,74,,,,,,,,
207,74,,,,,,,,
208,74,,,,,,,,
209,74,,,,,,,,
210,74,,,,,,,,
211,74,,,,,,,,
212,74,,,,,,,,
213,74,,,,,,,,
214,74,,,,,,,,
215,74,,,,,,,,
216,74,,,,,,,,
217,74,,,,,,,,
218,74,,,,,,,,
219,74,,,,,,,,
220,74,,,,,,,,
221,74,,,,,,,,
222,74,,,,,,,,
223,74,,,,,,,,
224,74,,,,,,,,
225,74,,,,,,,,
226,74,,,,,,,,
