TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
15,55,30.7263,30.7263,,179,17,18.97,5.86
16,26,14.5251,45.2514,,,,,
17,23,12.8492,58.1006,,,,,
18,21,11.7318,69.8324,,,,,
19,7,3.9106,73.743,,,,,
20,7,3.9106,77.6536,,,,,
21,6,3.352,81.0056,,,,,
22,6,3.352,84.3575,,,,,
23,4,2.2346,86.5922,,,,,
24,3,1.676,88.2682,,,,,
25,3,1.676,89.9441,cutoff,,,,
26,2,1.1173,91.0615,,,,,
29,1,0.5587,91.6201,,,,,
30,1,0.5587,92.1788,,,,,
31,1,0.5587,92.7374,,,,,
32,1,0.5587,93.2961,,,,,
33,3,1.676,94.9721,,,,,
34,1,0.5587,95.5307,,,,,
35,1,0.5587,96.0894,,,,,
36,1,0.5587,96.648,,,,,
38,1,0.5587,97.2067,,,,,
39,2,1.1173,98.324,,,,,
40,1,0.5587,98.8827,,,,,
41,2,1.1173,100,,,,,
