TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
18,60,20.5479,20.5479,,292,22,24.39,6.54
19,20,6.8493,27.3973,,,,,
20,27,9.2466,36.6438,,,,,
21,22,7.5342,44.1781,,,,,
22,25,8.5616,52.7397,,,,,
23,20,6.8493,59.589,,,,,
24,12,4.1096,63.6986,,,,,
25,10,3.4247,67.1233,,,,,
26,6,2.0548,69.1781,,,,,
27,9,3.0822,72.2603,,,,,
28,13,4.4521,76.7123,,,,,
29,3,1.0274,77.7397,,,,,
30,11,3.7671,81.5068,,,,,
31,7,2.3973,83.9041,,,,,
32,8,2.7397,86.6438,,,,,
33,5,1.7123,88.3562,,,,,
34,6,2.0548,90.411,cutoff,,,,
35,2,0.6849,91.0959,,,,,
36,2,0.6849,91.7808,,,,,
37,4,1.3699,93.1507,,,,,
38,6,2.0548,95.2055,,,,,
39,3,1.0274,96.2329,,,,,
40,3,1.0274,97.2603,,,,,
41,4,1.3699,98.6301,,,,,
42,2,0.6849,99.3151,,,,,
44,2,0.6849,100,,,,,
