T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,174--240,29--40,31--40,33--40,30--40,34--40,30--40,29--40,33--40
74,166--173,28,30,32,29,33,-,28,32
73,159--165,-,-,31,-,31--32,29,-,31
72,158,27,29,30,28,-,-,27,30
71,155--157,-,-,-,27,30,28,-,29
70,152--154,-,-,29,26,29,27,26,28
69,145--151,26,28,-,25,28,26,25,-
68,142--144,-,27,28,-,-,25,24,27
67,139--141,-,-,27,24,27,-,23,26
66,136--138,25,26,-,-,26,24,-,-
65,134--135,-,25,26,23,-,23,22,25
64,131--133,24,-,25,-,25,-,21,24
63,129--130,-,24,24,22,24,22,20,23
62,126--128,23,-,-,21,-,21,-,-
61,122--125,-,23,23,20,23,-,19,22
60,118--121,22,22,22,-,-,20,-,21
59,115--117,-,-,-,19,22,-,18,-
58,113--114,21,21,21,-,21,19,17,20
57,110--112,-,20,-,18,-,18,-,-
56,108--109,20,-,20,17,20,17,16,19
55,105--107,-,19,19,-,-,-,15,18
54,102--104,19,18,-,-,19,16,-,-
53,100--101,-,-,18,16,18,-,14,17
52,97--99,18,17,17,-,-,15,-,-
51,94--96,-,-,-,15,17,-,-,16
50,91--93,17,16,16,-,-,14,13,-
49,89--90,-,-,-,-,16,-,-,15
48,86--88,-,15,15,14,-,13,12,-
47,84--85,16,14,-,-,15,-,-,14
46,82--83,-,-,14,-,-,-,-,-
45,80--81,15,-,-,13,14,12,11,13
44,78--79,-,13,13,-,-,-,-,-
43,75--77,-,-,-,12,13,-,-,12
42,73--74,14,12,12,-,-,11,-,-
41,71--72,-,-,-,-,-,-,-,-
40,69--70,13,11,-,-,12,-,-,11
39,68,-,-,11,11,-,-,10,-
38,67,-,-,-,-,-,-,-,-
37,66,12,-,-,-,11,-,-,-
36,65,-,-,-,-,-,10,-,-
35,64,11,10,-,-,-,-,-,10
34,63,-,-,10,-,-,-,-,-
33,62,-,-,-,10,-,-,-,-
32,-,-,-,-,-,10,-,-,-
31,61,-,-,-,-,-,-,-,-
30,-,10,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,60,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
