raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
10,NA,31,36,35,34,33,37,40,36
11,NA,36,42,41,40,38,43,47,42
12,NA,39,44,43,43,41,46,49,44
13,NA,42,46,46,46,44,49,52,46
14,NA,44,48,47,49,46,51,54,48
15,NA,46,49,49,52,48,53,56,50
16,NA,49,51,51,54,50,54,57,52
17,NA,51,52,52,56,52,56,58,54
18,NA,53,54,54,57,54,57,60,55
19,NA,56,56,55,59,55,59,61,57
20,NA,57,57,57,60,57,60,63,58
21,NA,59,58,59,61,58,61,63,60
22,NA,61,60,60,62,60,62,64,61
23,NA,62,61,61,64,61,63,65,62
24,NA,64,62,62,65,62,65,66,63
25,NA,66,63,63,66,64,66,67,64
26,NA,68,65,64,67,65,67,68,66
27,NA,70,66,65,69,67,68,70,67
28,NA,73,67,67,70,69,69,73,68
29,NA,75,69,69,72,70,71,74,70
30,NA,75,71,71,74,72,73,74,71
31,NA,75,72,73,75,74,75,74,72
32,NA,75,74,74,75,74,75,75,73
33,NA,75,75,75,75,74,75,75,75
34,NA,75,75,75,75,75,75,75,75
35,NA,75,75,75,75,75,75,75,75
36,NA,75,75,75,75,75,75,75,75
37,NA,75,75,75,75,75,75,75,75
38,NA,75,75,75,75,75,75,75,75
39,NA,75,75,75,75,75,75,75,75
40,NA,75,75,75,75,75,75,75,75
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA
